,Open,High,Low,Close,Volume,Market Cap
2020-08-21,3.20380000,3.24000000,2.89000000,2.93170000,1131895.90000000,1131895.90000000
2020-08-22,2.92130000,3.20000000,2.74310000,3.01260000,1169417.78000000,1169417.78000000
2020-08-23,3.02240000,3.40000000,3.00140000,3.25000000,1198036.69000000,1198036.69000000
2020-08-24,3.26580000,3.62000000,3.21000000,3.34050000,1315196.06000000,1315196.06000000
2020-08-25,3.34060000,3.36540000,3.00010000,3.25000000,1149187.37000000,1149187.37000000
2020-08-26,3.25760000,3.79990000,3.18090000,3.56840000,2290030.56000000,2290030.56000000
2020-08-27,3.55570000,3.85750000,3.24340000,3.45010000,2412974.80000000,2412974.80000000
2020-08-28,3.45030000,4.30910000,3.45030000,4.00630000,2581936.84000000,2581936.84000000
2020-08-29,4.00700000,4.11210000,3.77480000,3.95350000,1342844.20000000,1342844.20000000
2020-08-30,3.95310000,4.71170000,3.90000000,4.43090000,1815681.99000000,1815681.99000000
2020-08-31,4.41270000,4.88650000,4.10000000,4.74350000,1497129.12000000,1497129.12000000
2020-09-01,4.74320000,4.94750000,4.30000000,4.33970000,1267574.76000000,1267574.76000000
2020-09-02,4.32130000,4.35060000,3.66000000,4.17000000,2002058.36000000,2002058.36000000
2020-09-03,4.17000000,4.45900000,3.47720000,3.50510000,3275612.26000000,3275612.26000000
2020-09-04,3.50620000,3.83460000,3.17390000,3.53010000,2052197.24000000,2052197.24000000
2020-09-05,3.53010000,3.66370000,2.09260000,2.60520000,4426267.38000000,4426267.38000000
2020-09-06,2.61190000,3.18000000,2.25750000,3.09410000,2898758.91000000,2898758.91000000
2020-09-07,3.07850000,3.19830000,2.38000000,2.92370000,2680083.17000000,2680083.17000000
2020-09-08,2.92370000,2.94990000,2.40000000,2.46800000,1626389.70000000,1626389.70000000
2020-09-09,2.46800000,3.88380000,2.38210000,3.60010000,6691121.99000000,6691121.99000000
2020-09-10,3.61070000,3.87500000,3.30400000,3.47610000,4356890.66000000,4356890.66000000
2020-09-11,3.47070000,3.50360000,3.03160000,3.39650000,2227636.94000000,2227636.94000000
2020-09-12,3.39670000,3.47000000,3.14940000,3.33160000,1161542.47000000,1161542.47000000
2020-09-13,3.33860000,3.47000000,2.98380000,3.26030000,2024779.41000000,2024779.41000000
2020-09-14,3.26560000,3.53930000,3.07520000,3.26410000,3351649.61000000,3351649.61000000
2020-09-15,3.26400000,3.32490000,2.89550000,2.92950000,1698391.09000000,1698391.09000000
2020-09-16,2.92880000,2.92930000,2.42820000,2.53270000,4886766.99000000,4886766.99000000
2020-09-17,2.53760000,2.93890000,2.36000000,2.88290000,4635747.31000000,4635747.31000000
2020-09-18,2.88300000,3.16000000,2.72600000,3.11440000,4169446.23000000,4169446.23000000
2020-09-19,3.10840000,3.25450000,2.95640000,3.03100000,1586219.86000000,1586219.86000000
2020-09-20,3.02160000,3.03190000,2.70000000,2.86280000,1456628.58000000,1456628.58000000
2020-09-21,2.86280000,3.03970000,2.46890000,2.76720000,3567879.31000000,3567879.31000000
2020-09-22,2.75710000,3.01070000,2.65000000,2.90820000,3416786.33000000,3416786.33000000
2020-09-23,2.91840000,3.09000000,2.70010000,2.85480000,2762150.96000000,2762150.96000000
2020-09-24,2.85500000,3.25710000,2.78040000,3.14330000,2983701.04000000,2983701.04000000
2020-09-25,3.14090000,3.27660000,2.90030000,3.19370000,2447843.22000000,2447843.22000000
2020-09-26,3.18500000,3.25000000,3.03000000,3.12870000,1357018.72000000,1357018.72000000
2020-09-27,3.12920000,3.18570000,2.98190000,3.15780000,983815.86000000,983815.86000000
2020-09-28,3.15570000,3.21090000,2.90800000,2.95990000,1306134.15000000,1306134.15000000
2020-09-29,2.95490000,3.02700000,2.87350000,2.95050000,950875.56000000,950875.56000000
2020-09-30,2.94470000,2.98380000,2.82280000,2.89670000,722757.83000000,722757.83000000
2020-10-01,2.89670000,2.98890000,2.65000000,2.86690000,1373061.59000000,1373061.59000000
2020-10-02,2.86670000,2.88730000,2.42000000,2.62320000,2788493.11000000,2788493.11000000
