,Real,Predicted
2020-08-21,0.12315,0.4904
2020-08-29,0.11623,0.4904
2020-09-01,0.12445,0.4904
2020-09-03,0.09446,0.09693
2020-09-06,0.0926,0.4904
2020-09-07,0.0936,0.4904
2020-09-09,0.09331,0.4904
2020-09-13,0.09507,0.4904
2020-09-21,0.07983,0.4904
2020-09-24,0.08254,0.4904
2020-09-25,0.09693,0.13334
2020-10-01,0.09804,0.4904
2020-10-05,0.09738,0.10639
2020-10-07,0.09374,0.10639
2020-10-09,0.10129,0.4904
2020-10-10,0.10493,0.4904
2020-10-16,0.10414,0.4904
2020-10-17,0.10598,0.10639
2020-10-19,0.10859,0.4904
2020-10-20,0.10238,0.4904
2020-10-21,0.10589,0.4904
2020-10-25,0.10639,0.10639
2020-10-26,0.10306,0.4904
2020-10-28,0.09869,0.4904
2020-10-29,0.09531,0.4904
2020-11-03,0.09357,0.4904
2020-11-05,0.09752,0.4904
2020-11-10,0.1059,0.4904
2020-11-11,0.10599,0.4904
2020-11-13,0.10629,0.4904
2020-11-14,0.10411,0.4904
2020-11-17,0.10947,0.4904
2020-11-21,0.13334,0.29928
2020-11-30,0.17204,0.13334
2020-12-03,0.16398,0.4904
2020-12-06,0.15873,0.4904
2020-12-07,0.15401,0.4904
2020-12-10,0.14188,0.4904
2020-12-16,0.16814,0.4904
2020-12-17,0.16336,0.13334
2020-12-18,0.16502,0.4904
2020-12-19,0.16433,0.4904
2020-12-20,0.16201,0.4904
2020-12-31,0.18134,0.4904
2021-01-02,0.17742,0.09693
2021-01-07,0.29928,0.29928
2021-01-15,0.30188,0.13334
2021-01-16,0.35071,0.29928
2021-01-22,0.34867,0.13334
2021-01-27,0.31144,0.4904
2021-01-29,0.34752,0.4904
2021-02-09,0.70562,0.4904
2021-02-10,0.93966,1.24303
2021-02-17,0.89206,0.4904
2021-02-18,0.91442,0.4904
2021-02-22,1.09703,1.24303
2021-02-24,1.04902,1.24924
2021-02-26,1.24303,1.24303
2021-03-10,1.13261,1.17
2021-03-16,1.24924,1.24303
2021-03-23,1.11639,1.17
2021-03-27,1.17678,1.17
2021-04-01,1.18377,1.17
2021-04-11,1.26355,1.17
2021-04-20,1.26689,1.17
2021-04-26,1.2375,1.17
2021-05-03,1.3622,1.17
2021-05-05,1.4798,1.5532
2021-05-07,1.653,1.5493
2021-05-09,1.7663,1.5493
2021-05-10,1.6423,1.7663
2021-05-21,1.5493,1.5493
2021-05-22,1.4629,1.5493
2021-05-25,1.5532,1.5493
2021-05-28,1.5133,1.5493
2021-06-02,1.7534,2.1878
2021-06-03,1.8453,2.27
2021-06-16,1.4851,1.17
2021-07-10,1.3356,1.059
2021-07-20,1.0539,1.17
2021-07-22,1.1856,1.059
2021-07-28,1.2875,1.17
2021-07-30,1.3108,1.17
2021-08-05,1.3859,1.17
2021-08-14,2.1878,2.4557
2021-08-19,2.4411,2.514
2021-08-20,2.4557,2.514
2021-08-22,2.7049,2.96
2021-08-29,2.851,2.966
2021-08-31,2.767,2.966
2021-09-02,2.96,2.96
2021-09-03,2.966,2.966
2021-09-07,2.514,2.514
2021-09-08,2.47,2.514
2021-09-11,2.638,2.96
2021-09-13,2.402,2.96
2021-09-19,2.283,2.966
2021-09-21,1.986,2.638
2021-09-28,2.037,2.283
2021-10-03,2.251,2.966
2021-10-06,2.209,2.966
2021-10-10,2.189,2.966
2021-10-14,2.172,2.283
2021-10-17,2.158,2.283
2021-10-23,2.166,2.166
2021-10-28,1.987,2.283
2021-11-02,1.971,2.166
2021-11-03,2.063,2.402
2021-11-05,1.982,2.166
2021-11-09,2.27,2.4557
2021-11-11,2.079,2.283
2021-11-17,1.876,1.17
2021-11-24,1.666,1.17
2021-11-28,1.594,1.17
2021-12-06,1.42,1.17
2021-12-07,1.378,1.17
2021-12-13,1.223,1.17
2021-12-16,1.24,1.059
2021-12-25,1.452,1.059
2022-01-03,1.319,1.059
2022-01-04,1.309,1.059
2022-01-05,1.23,1.059
2022-01-09,1.17,1.059
2022-01-14,1.292,1.059
2022-01-15,1.291,1.059
2022-01-29,1.059,1.059
2022-01-31,1.051,1.059
2022-02-01,1.096,1.059
2022-02-02,1.027,1.059
2022-02-12,1.059,1.059
2022-02-18,0.995,1.059
2022-02-21,0.856,1.17
2022-02-23,0.866,1.059
2022-02-28,0.962,1.059
2022-03-01,0.963,1.059
2022-03-07,0.793,1.059
2022-03-09,0.849,1.059
2022-03-11,0.788,1.059
2022-03-14,0.802,1.059
2022-03-17,0.835,1.059
2022-03-21,0.917,1.059
2022-03-28,1.17,1.17
2022-03-31,1.141,1.059
2022-04-03,1.186,1.059
2022-04-11,0.92,1.059
2022-04-13,0.974,1.059
2022-04-14,0.933,1.059
2022-04-17,0.914,1.059
2022-04-24,0.886,1.059
2022-04-27,0.8401,1.059
2022-05-01,0.7895,1.059
2022-05-03,0.7711,1.059
2022-05-05,0.7884,0.4904
2022-05-06,0.7832,1.059
2022-05-13,0.529,0.4904
2022-05-14,0.5372,0.4904
2022-05-18,0.5059,0.4904
2022-05-29,0.482,1.059
2022-05-31,0.6268,0.4904
2022-06-04,0.5665,1.059
2022-06-07,0.6141,0.4904
2022-06-12,0.4904,0.4904
2022-06-14,0.4831,0.4904
2022-06-26,0.4899,0.4904
2022-06-30,0.4599,0.4904
2022-07-02,0.4559,1.059
2022-07-08,0.4661,0.4904
2022-07-11,0.4347,0.4904
2022-07-16,0.4578,1.059
2022-07-17,0.4478,1.059
2022-07-18,0.4904,0.4904
2022-07-19,0.5152,0.4904
2022-07-22,0.4828,0.4904
2022-07-23,0.517,0.4904
2022-07-26,0.4677,0.4904
2022-07-28,0.513,0.4904
2022-07-29,0.5218,0.4904
2022-07-31,0.5161,1.059
2022-08-01,0.5124,1.059
