date,overall_sentiment_score,overall_sentiment_label,
3/2/2022,0.03428,Neutral,.034280
3/3/2022,0.196193,Somewhat-Bullish,.196193
3/6/2022,0.277901,Somewhat-Bullish,.277901
3/7/2022,0.066211,Neutral,.032301
3/8/2022,0.06432,Neutral,-.016391
3/9/2022,-0.093204,Neutral,-.046241
3/10/2022,0.260407,Somewhat-Bullish,.120044
3/11/2022,0.054534,Neutral,.018234
3/12/2022,-0.054055,Neutral,.059796
3/14/2022,-0.018186,Neutral,-.067670
3/15/2022,-0.060219,Neutral,-.008675
3/16/2022,0.026957,Neutral,-.037845
3/17/2022,-0.069604,Neutral,-.090183
3/18/2022,-0.004234,Neutral,-.021546
3/19/2022,0.04382,Neutral,.043820
3/20/2022,-0.079517,Neutral,-.002172
3/21/2022,0.018961,Neutral,.006597
3/22/2022,0.049281,Neutral,.022237
3/23/2022,0.048617,Neutral,-.000511
3/24/2022,0.02872,Neutral,.027004
3/25/2022,-0.006169,Neutral,-.011357
3/26/2022,-0.077496,Neutral,-.013483
3/27/2022,-0.059036,Neutral,-.012904
3/28/2022,-0.089815,Neutral,.014743
3/29/2022,-0.086778,Neutral,-.031820
3/30/2022,-0.081902,Neutral,-.005645
4/1/2022,0.200911,Somewhat-Bullish,.019680
4/2/2022,0.039745,Neutral,.020099
4/3/2022,-0.059328,Neutral,.062583
4/4/2022,-0.092856,Neutral,.031408
4/5/2022,0.087064,Neutral,.055277
4/6/2022,-0.146842,Neutral,-.059096
4/7/2022,-0.003959,Neutral,-.021210
4/8/2022,-0.161612,Somewhat-Bearish,-.075562
4/9/2022,-0.050709,Neutral,.038428
4/10/2022,0.071051,Neutral,.071051
4/11/2022,-0.30238,Somewhat-Bearish,-.155599
4/12/2022,0.15403,Somewhat-Bullish,.011182
4/13/2022,0.026798,Neutral,-.039252
4/14/2022,-0.033216,Neutral,.067605
4/15/2022,-0.079223,Neutral,-.005988
4/16/2022,-0.186152,Somewhat-Bearish,-.041680
4/17/2022,0.096494,Neutral,.033612
4/18/2022,-0.166492,Somewhat-Bearish,-.103198
4/19/2022,-0.19609,Somewhat-Bearish,-.024825
4/20/2022,-0.173516,Somewhat-Bearish,-.043463
4/21/2022,-0.158048,Somewhat-Bearish,-.000214
4/22/2022,0.092872,Neutral,-.035803
4/25/2022,-0.161765,Somewhat-Bearish,-.050009
4/26/2022,-0.106509,Neutral,-.070867
4/27/2022,-0.08302,Neutral,.004765
4/28/2022,-0.019537,Neutral,.083840
4/29/2022,-0.007976,Neutral,-.052447
4/30/2022,-0.085911,Neutral,-.020636
5/1/2022,-0.087102,Neutral,-.091756
5/2/2022,-0.173728,Somewhat-Bearish,-.041102
5/3/2022,-0.053974,Neutral,.042448
5/4/2022,0.088303,Neutral,.011476
5/5/2022,-0.008906,Neutral,-.079871
5/6/2022,0.032369,Neutral,.032369
5/7/2022,-0.180614,Somewhat-Bearish,-.180614
5/8/2022,-0.018557,Neutral,-.078425
5/9/2022,-0.169052,Somewhat-Bearish,-.176912
5/10/2022,-0.196478,Somewhat-Bearish,-.129647
5/11/2022,-0.149372,Neutral,-.120573
5/12/2022,-0.13406,Neutral,-.101747
5/13/2022,-0.176653,Somewhat-Bearish,-.112842
5/14/2022,-0.182485,Somewhat-Bearish,-.132192
5/15/2022,-0.124031,Neutral,-.018041
5/16/2022,-0.00922,Neutral,-.100131
5/17/2022,-0.249135,Somewhat-Bearish,-.129922
5/18/2022,-0.110443,Neutral,-.124438
5/19/2022,0.084705,Neutral,-.008664
