,Real,Predicted
2020-08-21,22.0988,22.9398
2020-08-29,22.9398,29.37
2020-09-01,24.7028,22.4426
2020-09-03,20.3592,23.142
2020-09-06,23.142,31.1656
2020-09-07,22.4426,20.3592
2020-09-09,24.4716,22.4426
2020-09-13,31.1656,31.1656
2020-09-21,23.1232,20.3592
2020-09-24,24.5745,24.4716
2020-09-25,24.6924,24.6924
2020-10-01,27.4673,22.4426
2020-10-05,28.6158,22.9398
2020-10-07,27.6898,29.37
2020-10-09,28.4076,22.0988
2020-10-10,28.4414,22.9398
2020-10-16,30.0516,24.5745
2020-10-17,30.2414,29.37
2020-10-19,29.9107,29.37
2020-10-20,28.8227,22.0988
2020-10-21,29.7329,22.0988
2020-10-25,30.128,29.37
2020-10-26,31.0467,22.0988
2020-10-28,30.3338,27.6926
2020-10-29,29.8702,29.37
2020-11-03,26.8638,22.0988
2020-11-05,27.6875,22.9398
2020-11-10,28.2188,27.6926
2020-11-11,28.016,29.37
2020-11-13,28.1974,29.37
2020-11-14,27.9311,29.37
2020-11-17,28.5552,27.6926
2020-11-21,30.5161,24.5745
2020-11-30,31.4935,24.5745
2020-12-03,30.7065,29.37
2020-12-06,29.5026,29.37
2020-12-07,29.37,29.37
2020-12-10,27.6926,29.37
2020-12-16,30.5577,27.6926
2020-12-17,30.2255,24.4716
2020-12-18,30.9882,29.37
2020-12-19,33.3167,22.4426
2020-12-20,34.3148,22.4426
2020-12-31,37.3588,29.37
2021-01-02,38.2331,24.5745
2021-01-07,43.5728,22.4426
2021-01-15,40.8668,24.4716
2021-01-16,43.142,24.4716
2021-01-22,40.8936,24.5745
2021-01-27,40.8826,22.0988
2021-01-29,42.8618,24.4716
2021-02-09,107.3469,107.3469
2021-02-10,128.9711,128.9711
2021-02-17,165.3233,107.3469
2021-02-18,195.6,107.3469
2021-02-22,267.5147,267.5147
2021-02-24,254.5056,267.5147
2021-02-26,221.717,221.717
2021-03-10,278.4499,343.18
2021-03-16,258.5352,269.2234
2021-03-23,255.4646,269.2234
2021-03-27,269.2234,269.2234
2021-04-01,334.7991,328.82
2021-04-11,525.9275,586.3635
2021-04-20,586.3635,586.3635
2021-04-26,535.33,631.1
2021-05-03,676.15,631.1
2021-05-05,651.1,631.1
2021-05-07,624.3,661.74
2021-05-09,661.74,631.1
2021-05-10,631.1,631.1
2021-05-21,326.01,326.01
2021-05-22,299.76,343.18
2021-05-25,343.18,326.01
2021-05-28,328.82,343.18
2021-06-02,401.54,586.3635
2021-06-03,428.48,586.3635
2021-06-16,347.22,399.1
2021-07-10,316.12,301.3
2021-07-20,264.44,264.44
2021-07-22,293.36,301.3
2021-07-28,313.8,316.12
2021-07-30,322.58,320.9
2021-08-05,337.91,333.0
2021-08-14,408.67,472.7
2021-08-19,431.27,454.93
2021-08-20,454.93,587.5
2021-08-22,448.68,547.4
2021-08-29,479.7,547.4
2021-08-31,463.9,568.4
2021-09-02,483.7,628.4
2021-09-03,488.5,578.7
2021-09-07,418.7,418.7
2021-09-08,415.0,418.7
2021-09-11,405.1,406.6
2021-09-13,399.1,463.9
2021-09-19,408.6,406.6
2021-09-21,344.4,399.1
2021-09-28,333.0,301.3
2021-10-03,430.5,485.5
2021-10-06,434.9,474.1
2021-10-10,404.1,485.5
2021-10-14,472.7,578.0
2021-10-17,470.9,547.4
2021-10-23,485.5,547.4
2021-10-28,491.9,607.3
2021-11-02,554.4,635.0
2021-11-03,568.4,635.0
2021-11-05,607.3,661.74
2021-11-09,635.0,635.0
2021-11-11,628.4,635.0
2021-11-17,578.0,635.0
2021-11-24,590.3,635.0
2021-11-28,611.3,635.0
2021-12-06,587.5,661.74
2021-12-07,578.7,635.0
2021-12-13,521.0,635.0
2021-12-16,526.2,635.0
2021-12-25,547.4,635.0
2022-01-03,511.9,635.0
2022-01-04,506.9,635.0
2022-01-05,474.1,635.0
2022-01-09,438.7,547.4
2022-01-14,490.0,547.4
2022-01-15,494.5,547.4
2022-01-29,389.3,406.6
2022-01-31,374.3,406.6
2022-02-01,384.2,406.6
2022-02-02,366.9,406.6
2022-02-12,403.6,406.6
2022-02-18,399.2,406.6
2022-02-21,356.6,394.6
2022-02-23,365.6,406.6
2022-02-28,395.6,398.8
2022-03-01,408.7,491.9
2022-03-07,380.6,398.8
2022-03-09,393.2,406.6
2022-03-11,371.9,398.8
2022-03-14,373.4,398.8
2022-03-17,391.8,406.6
2022-03-21,396.0,406.6
2022-03-28,430.2,547.4
2022-03-31,428.9,547.4
2022-04-03,450.4,547.4
2022-04-11,394.6,406.6
2022-04-13,423.4,485.5
2022-04-14,414.7,406.6
2022-04-17,406.6,406.6
2022-04-24,398.8,406.6
2022-04-27,391.3,406.6
2022-05-01,389.9,406.6
2022-05-03,383.9,406.6
2022-05-05,378.4,428.9
2022-05-06,379.1,406.6
2022-05-13,290.6,290.6
2022-05-14,296.9,249.4
2022-05-18,287.7,301.3
2022-05-29,305.8,301.3
2022-05-31,320.9,301.3
2022-06-04,301.3,301.3
2022-06-07,290.3,249.4
2022-06-12,254.8,218.3
2022-06-14,223.0,223.0
2022-06-26,233.9,218.3
2022-06-30,219.6,218.3
2022-07-02,218.3,218.3
2022-07-08,240.7,218.3
2022-07-11,225.6,218.3
2022-07-16,249.8,218.3
2022-07-17,247.8,218.3
2022-07-18,264.1,218.3
2022-07-19,268.6,218.3
2022-07-22,262.4,218.3
2022-07-23,259.2,218.3
2022-07-26,249.4,218.3
2022-07-28,277.2,218.3
2022-07-29,293.6,249.4
2022-07-31,283.4,218.3
2022-08-01,283.2,218.3
