,Real,Predicted
2020-08-21,11531.34,10373.44
2020-08-29,11465.84,11360.2
2020-09-01,11921.97,10417.22
2020-09-03,10140.85,10140.85
2020-09-06,10256.2,10219.2
2020-09-07,10373.44,10256.2
2020-09-09,10219.2,10666.39
2020-09-13,10332.83,11360.2
2020-09-21,10417.22,10373.44
2020-09-24,10736.32,10219.2
2020-09-25,10686.67,11360.2
2020-10-01,10619.13,10219.2
2020-10-05,10792.21,11360.2
2020-10-07,10666.39,11360.2
2020-10-09,11050.64,11360.2
2020-10-10,11293.22,11360.2
2020-10-16,11319.32,11360.2
2020-10-17,11360.2,11360.2
2020-10-19,11751.47,11360.2
2020-10-20,11909.99,10256.2
2020-10-21,12780.96,10140.85
2020-10-25,13028.83,11360.2
2020-10-26,13052.19,10219.2
2020-10-28,13266.4,10140.85
2020-10-29,13455.7,10417.22
2020-11-03,14023.53,10417.22
2020-11-05,15590.02,15590.02
2020-11-10,15297.21,10256.2
2020-11-11,15684.24,11921.97
2020-11-13,16320.7,10417.22
2020-11-14,16070.45,10219.2
2020-11-17,17659.38,10140.85
2020-11-21,18703.8,11921.97
2020-11-30,19695.87,10140.85
2020-12-03,19421.9,11909.99
2020-12-06,19359.4,11360.2
2020-12-07,19166.9,11360.2
2020-12-10,18254.63,10666.39
2020-12-16,21335.52,15590.02
2020-12-17,22797.16,22432.58
2020-12-18,23107.39,15684.24
2020-12-19,23821.61,19942.21
2020-12-20,23455.52,18703.8
2020-12-31,28923.63,23455.52
2021-01-02,32178.33,32945.17
2021-01-07,39432.28,37252.01
2021-01-15,36742.22,35663.49
2021-01-16,35994.98,40019.56
2021-01-22,32945.17,32945.17
2021-01-27,30366.15,31125.33
2021-01-29,34252.2,34252.2
2021-02-09,46420.42,54087.67
2021-02-10,44807.58,54087.67
2021-02-17,52119.71,55816.14
2021-02-18,51552.6,60575.89
2021-02-22,54087.67,54087.67
2021-02-24,49676.2,54087.67
2021-02-26,46276.87,54087.67
2021-03-10,55851.59,55816.14
2021-03-16,56900.75,55816.14
2021-03-23,54340.89,66947.66
2021-03-27,55817.14,66947.66
2021-04-01,58720.44,66947.66
2021-04-11,60002.43,66947.66
2021-04-20,56425.0,55816.14
2021-04-26,54001.39,55816.14
2021-05-03,57169.39,66947.66
2021-05-05,57436.11,55816.14
2021-05-07,57314.75,55816.14
2021-05-09,58240.84,66947.66
2021-05-10,55816.14,54087.67
2021-05-21,37252.01,37252.01
2021-05-22,37449.73,35663.49
2021-05-25,38324.72,35663.49
2021-05-28,35663.49,37252.01
2021-06-02,37568.68,37568.68
2021-06-03,39246.79,40862.46
2021-06-16,38349.01,40019.56
2021-07-10,33502.87,29864.04
2021-07-20,29790.35,30086.74
2021-07-22,32287.83,29864.04
2021-07-28,40019.56,46420.42
2021-07-30,42206.37,43160.0
2021-08-05,40862.46,40019.56
2021-08-14,47068.51,50399.66
2021-08-19,46760.62,49239.22
2021-08-20,49322.47,55817.14
2021-08-22,49239.22,50399.66
2021-08-29,48767.83,50399.66
2021-08-31,47100.89,50588.95
2021-09-02,49246.64,55817.14
2021-09-03,49999.14,57169.39
2021-09-07,46863.73,54087.67
2021-09-08,46048.31,51552.6
2021-09-11,45173.69,50399.66
2021-09-13,44940.73,50441.92
2021-09-19,47241.75,50399.66
2021-09-21,40734.38,44807.58
2021-09-28,41026.54,43084.29
2021-10-03,48200.01,50399.66
2021-10-06,55315.0,55816.14
2021-10-10,54659.0,54087.67
2021-10-14,57347.94,66947.66
2021-10-17,61528.33,66947.66
2021-10-23,61286.75,64774.26
2021-10-28,60575.89,66947.66
2021-11-02,63219.99,66947.66
2021-11-03,62896.48,66947.66
2021-11-05,60937.12,66947.66
2021-11-09,66947.66,66947.66
2021-11-11,64774.26,66947.66
2021-11-17,60344.87,66947.66
2021-11-24,57138.29,64774.26
2021-11-28,57274.88,61286.75
2021-12-06,50441.92,54340.89
2021-12-07,50588.95,61286.75
2021-12-13,46702.75,57274.88
2021-12-16,47632.38,50399.66
2021-12-25,50399.66,50399.66
2022-01-03,46446.1,50399.66
2022-01-04,45832.01,50399.66
2022-01-05,43451.13,49239.22
2022-01-09,41864.62,39678.12
2022-01-14,43059.96,39678.12
2022-01-15,43084.29,39678.12
2022-01-29,38166.84,39678.12
2022-01-31,38466.9,39678.12
2022-02-01,38694.59,39678.12
2022-02-02,36896.36,39678.12
2022-02-12,42217.87,39678.12
2022-02-18,39974.44,39678.12
2022-02-21,37008.16,38729.57
2022-02-23,37250.01,39678.12
2022-02-28,43160.0,43160.0
2022-03-01,44421.2,47122.21
2022-03-07,37988.0,37008.16
2022-03-09,41941.71,43160.0
2022-03-11,38729.57,39235.72
2022-03-14,39671.37,38166.84
2022-03-17,40917.9,39678.12
2022-03-21,41002.25,39678.12
2022-03-28,47122.21,51552.6
2022-03-31,45510.34,48767.83
2022-04-03,46407.35,50399.66
2022-04-11,39530.45,39530.45
2022-04-13,41147.79,39678.12
2022-04-14,39942.38,39678.12
2022-04-17,39678.12,39678.12
2022-04-24,39450.13,39678.12
2022-04-27,39235.72,39671.37
2022-05-01,38468.35,39678.12
2022-05-03,37728.95,39678.12
2022-05-05,36552.97,38324.72
2022-05-06,36013.77,36013.77
2022-05-13,29287.05,31125.33
2022-05-14,30086.74,29468.1
2022-05-18,28715.32,30086.74
2022-05-29,29468.1,29864.04
2022-05-31,31801.04,28715.32
2022-06-04,29864.04,29864.04
2022-06-07,31125.33,32178.33
2022-06-12,26574.53,26574.53
2022-06-14,22136.41,22432.58
2022-06-26,21038.07,13028.83
2022-06-30,19942.21,12780.96
2022-07-02,19252.81,11360.2
2022-07-08,21594.75,21594.75
2022-07-11,19963.61,15590.02
2022-07-16,21195.6,15590.02
2022-07-17,20798.16,15590.02
2022-07-18,22432.58,23396.62
2022-07-19,23396.62,23396.62
2022-07-22,22684.83,22136.41
2022-07-23,22451.07,15590.02
2022-07-26,21254.67,22432.58
2022-07-28,23842.93,23396.62
2022-07-29,23773.75,22432.58
2022-07-31,23293.32,19963.61
2022-08-01,23268.01,21254.67
