,Real,Predicted
2020-08-21,387.97,352.85
2020-08-29,398.65,368.32
2020-09-01,475.4,352.8
2020-09-03,381.4,381.4
2020-09-06,352.8,381.4
2020-09-07,353.59,352.8
2020-09-09,350.85,352.85
2020-09-13,366.42,348.97
2020-09-21,340.36,353.59
2020-09-24,348.97,348.97
2020-09-25,351.92,365.02
2020-10-01,352.85,341.58
2020-10-05,353.62,368.32
2020-10-07,341.58,368.32
2020-10-09,365.02,368.32
2020-10-10,370.52,368.32
2020-10-16,365.5,368.32
2020-10-17,368.32,368.32
2020-10-19,379.3,368.32
2020-10-20,368.52,368.32
2020-10-21,390.38,340.36
2020-10-25,405.86,368.32
2020-10-26,392.52,350.85
2020-10-28,388.23,365.02
2020-10-29,387.13,368.32
2020-11-03,387.88,341.58
2020-11-05,416.69,353.59
2020-11-10,450.34,352.85
2020-11-11,463.09,340.36
2020-11-13,476.43,348.97
2020-11-14,460.89,353.62
2020-11-17,482.15,340.36
2020-11-21,552.35,352.8
2020-11-30,616.66,352.8
2020-12-03,615.85,350.85
2020-12-06,601.54,368.32
2020-12-07,591.28,368.32
2020-12-10,558.99,368.32
2020-12-16,637.18,340.36
2020-12-17,642.7,381.4
2020-12-18,653.85,348.97
2020-12-19,658.03,352.85
2020-12-20,638.18,365.02
2020-12-31,736.42,352.85
2021-01-02,774.56,353.59
2021-01-07,1224.87,1208.9
2021-01-15,1168.53,1208.9
2021-01-16,1227.83,1232.62
2021-01-22,1232.62,1208.9
2021-01-27,1239.03,1208.9
2021-01-29,1379.5,1208.9
2021-02-09,1769.13,1813.33
2021-02-10,1740.78,1724.52
2021-02-17,1849.88,1678.12
2021-02-18,1939.61,1939.61
2021-02-22,1777.58,2705.11
2021-02-24,1623.39,1542.32
2021-02-26,1444.59,1227.83
2021-03-10,1795.12,1795.12
2021-03-16,1805.12,1668.08
2021-03-23,1668.08,1804.58
2021-03-27,1712.63,1804.58
2021-04-01,1968.05,1668.08
2021-04-11,2151.36,1804.58
2021-04-20,2330.03,2532.6
2021-04-26,2532.6,2826.99
2021-05-03,3431.04,3945.88
2021-05-05,3524.26,3945.88
2021-05-07,3479.53,3923.95
2021-05-09,3923.95,3945.88
2021-05-10,3945.88,3945.88
2021-05-21,2430.98,2430.98
2021-05-22,2294.87,2705.11
2021-05-25,2705.11,2430.98
2021-05-28,2412.1,2705.11
2021-06-02,2706.22,3431.04
2021-06-03,2857.25,3431.04
2021-06-16,2367.89,2686.94
2021-07-10,2110.69,1804.58
2021-07-20,1786.03,1678.12
2021-07-22,2024.56,1968.05
2021-07-28,2300.9,2300.9
2021-07-30,2461.81,2461.81
2021-08-05,2826.99,3431.04
2021-08-14,3263.16,3765.89
2021-08-19,3184.12,3574.89
2021-08-20,3284.82,3790.82
2021-08-22,3238.0,3326.04
2021-08-29,3223.47,3326.04
2021-08-31,3429.2,3923.95
2021-09-02,3785.82,4603.35
2021-09-03,3938.11,4603.35
2021-09-07,3434.57,3945.88
2021-09-08,3499.0,3923.95
2021-09-11,3267.21,3326.04
2021-09-13,3285.35,3781.93
2021-09-19,3328.62,4094.83
2021-09-21,2765.9,3434.57
2021-09-28,2804.91,2988.06
2021-10-03,3417.73,4094.83
2021-10-06,3574.89,4347.59
2021-10-10,3414.22,4287.8
2021-10-14,3790.82,4474.24
2021-10-17,3846.85,4719.0
2021-10-23,4167.12,4732.33
2021-10-28,4286.02,4603.35
2021-11-02,4589.89,4732.33
2021-11-03,4603.35,4732.33
2021-11-05,4474.24,4732.33
2021-11-09,4732.33,4732.33
2021-11-11,4719.0,4732.33
2021-11-17,4287.8,4732.33
2021-11-24,4269.36,4732.33
2021-11-28,4294.78,4732.33
2021-12-06,4347.59,4603.35
2021-12-07,4306.4,4732.33
2021-12-13,3781.93,4732.33
2021-12-16,3958.11,4732.33
2021-12-25,4094.83,4732.33
2022-01-03,3765.89,4094.83
2022-01-04,3785.11,4094.83
2022-01-05,3540.63,4094.83
2022-01-09,3151.97,3326.04
2022-01-14,3307.42,3326.04
2022-01-15,3326.04,3326.04
2022-01-29,2601.43,2921.0
2022-01-31,2686.94,2921.0
2022-02-01,2787.23,2921.0
2022-02-02,2680.67,2921.0
2022-02-12,2918.88,2921.0
2022-02-18,2779.48,2921.0
2022-02-21,2568.02,2747.97
2022-02-23,2579.71,2921.0
2022-02-28,2920.95,2920.95
2022-03-01,2976.33,3285.35
2022-03-07,2491.12,2686.94
2022-03-09,2726.98,2787.23
2022-03-11,2556.86,2921.0
2022-03-14,2589.41,2921.0
2022-03-17,2811.92,2921.0
2022-03-21,2890.03,2921.0
2022-03-28,3332.92,3785.11
2022-03-31,3281.51,3765.89
2022-04-03,3521.91,4094.83
2022-04-11,2979.74,3479.53
2022-04-13,3118.28,3326.04
2022-04-14,3021.98,3326.04
2022-04-17,2988.06,3326.04
2022-04-24,2921.0,2921.0
2022-04-27,2888.96,2921.0
2022-05-01,2824.81,2921.0
2022-05-03,2781.7,2921.0
2022-05-05,2747.97,2979.74
2022-05-06,2692.85,2976.33
2022-05-13,2009.69,1813.33
2022-05-14,2056.48,1804.58
2022-05-18,1915.11,1804.58
2022-05-29,1813.64,1804.58
2022-05-31,1941.9,1915.11
2022-06-04,1804.58,1804.58
2022-06-07,1813.33,1777.58
2022-06-12,1434.84,1239.03
2022-06-14,1208.9,1208.9
2022-06-26,1197.79,736.42
