date,overall_sentiment_score,overall_sentiment_label
3/2/2022,0.004078,Neutral
3/3/2022,-0.04791475,Somewhat-Bearish
3/4/2022,-0.005008,Neutral
3/5/2022,-0.10101775,Somewhat-Bearish
3/6/2022,-0.001728428571,Neutral
3/7/2022,-0.06953822222,Neutral
4/1/2022,-0.01562320619,Neutral
4/2/2022,-0.01312142308,Neutral
4/3/2022,-0.04322235185,Neutral
4/4/2022,0.008867311475,Neutral
4/5/2022,0.01398275,Neutral
5/1/2022,-0.06670220833,Somewhat-Bearish
5/2/2022,-0.03868015873,Neutral
5/3/2022,-0.0007305890411,Neutral
5/4/2022,-0.005530534884,Neutral
6/1/2022,-0.03993113924,Neutral
6/2/2022,-0.04832295161,Neutral
6/3/2022,-0.06124901695,Somewhat-Bearish
7/1/2022,-0.05400735,Neutral
7/2/2022,-0.0658219,Somewhat-Bearish
7/3/2022,-0.07503025,Somewhat-Bearish
7/4/2022,-0.0700456,Somewhat-Bearish
7/5/2022,-0.04765422727,Neutral
7/6/2022,-0.05586360294,Neutral
7/7/2022,-0.04321227273,Neutral
