,Real,Predicted
2020-08-21,0.4314,0.2906
2020-08-29,0.538,0.2906
2020-09-01,0.4808,0.2906
2020-09-03,0.3778,0.2906
2020-09-06,0.3325,0.2906
2020-09-07,0.3257,0.2906
2020-09-09,0.3167,0.2906
2020-09-13,0.3088,0.2906
2020-09-21,0.2884,0.2906
2020-09-24,0.3029,0.2906
2020-09-25,0.324,0.2906
2020-10-01,0.3174,0.2906
2020-10-05,0.3107,0.2906
2020-10-07,0.304,0.2906
2020-10-09,0.3183,0.2906
2020-10-10,0.3082,0.2906
2020-10-16,0.319,0.2906
2020-10-17,0.3178,0.2906
2020-10-19,0.3206,0.2906
2020-10-20,0.3094,0.2906
2020-10-21,0.3127,0.2906
2020-10-25,0.3081,0.2906
2020-10-26,0.3047,0.2906
2020-10-28,0.3089,0.2906
2020-10-29,0.3015,0.2906
2020-11-03,0.2906,0.2906
2020-11-05,0.2949,0.2906
2020-11-10,0.3086,0.2906
2020-11-11,0.3202,0.2906
2020-11-13,0.3193,0.2906
2020-11-14,0.3053,0.2906
2020-11-17,0.3123,0.2906
2020-11-21,0.3477,0.2906
2020-11-24,0.4131,0.2906
2020-11-30,0.3998,0.2906
2020-12-03,0.5027,0.2906
2020-12-06,0.5018,0.2906
2020-12-07,0.5078,0.2906
2020-12-10,0.4751,0.2906
2020-12-15,0.4796,0.2906
2020-12-16,0.5054,0.2906
2020-12-17,0.484,0.2906
2020-12-18,0.5326,0.2906
2020-12-19,0.5378,0.2906
2020-12-20,0.4888,0.2906
2020-12-31,0.654,0.2906
2021-01-02,0.6299,0.2906
2021-01-07,0.8572,0.2906
2021-01-15,0.792,0.2906
2021-01-16,0.7605,0.2906
2021-01-27,1.1204,0.2906
2021-01-29,1.4736,0.2906
2021-02-09,6.4663,0.2906
2021-02-10,6.0925,0.2906
2021-02-17,7.2723,0.2906
2021-02-18,6.6966,0.2906
2021-02-22,7.0715,0.2906
2021-02-24,6.6649,0.2906
2021-02-26,5.8955,0.2906
2021-03-10,11.1176,3.8277
2021-03-23,16.9419,15.85
2021-03-27,18.6553,16.545
2021-04-01,18.4204,16.545
2021-04-11,15.1147,11.1176
2021-04-20,13.4266,6.5295
2021-04-23,14.1,6.5295
2021-04-25,17.713,8.87
2021-05-03,17.244,16.168
2021-05-05,17.023,15.1147
2021-05-07,16.545,15.1147
2021-05-10,15.85,14.1
2021-05-16,16.168,8.87
2021-06-02,6.832,0.2906
2021-06-10,6.141,0.2906
2021-06-16,6.175,0.2906
2021-06-21,4.838,0.2906
2021-06-22,4.728,0.2906
2021-06-23,5.19,0.2906
2021-06-27,5.417,0.2906
2021-06-29,6.008,0.2906
2021-07-01,5.882,0.2906
2021-07-05,6.015,0.2906
2021-07-18,6.483,0.2906
2021-07-20,5.867,0.2906
2021-07-22,7.334,0.2906
2021-08-02,12.325,5.417
2021-08-11,16.956,15.1147
2021-08-14,17.388,15.1147
2021-08-16,21.904,21.904
2021-08-18,30.715,30.715
2021-08-19,29.43,40.16
2021-08-20,30.658,33.44
2021-08-21,27.529,27.53
2021-08-24,29.607,40.16
2021-08-27,32.64,29.607
2021-08-29,33.26,43.87
2021-08-30,33.44,37.76
2021-09-03,31.72,36.63
2021-09-08,29.46,27.53
2021-09-13,37.18,30.29
2021-09-20,27.53,37.18
2021-09-21,25.16,27.53
2021-09-24,40.16,30.29
2021-10-01,37.76,43.31
2021-10-03,42.79,50.12
2021-10-09,42.5,51.65
2021-10-12,37.59,43.24
2021-10-14,37.15,45.69
2021-10-16,36.63,42.5
2021-10-17,36.18,42.5
2021-10-18,35.83,42.5
2021-10-21,40.95,30.29
2021-10-29,45.69,51.65
2021-10-30,43.31,50.24
2021-11-06,51.17,61.66
2021-11-07,50.53,66.0
2021-11-09,50.24,66.0
2021-11-11,50.45,59.58
2021-11-16,43.24,30.29
2021-11-27,43.87,50.48
2021-11-28,50.11,59.58
2021-12-07,68.72,99.21
2021-12-08,75.1,99.21
2021-12-15,61.66,91.35
2021-12-18,74.23,91.35
2021-12-22,85.38,103.02
2021-12-29,84.12,103.02
2021-12-30,84.73,103.02
2022-01-01,91.69,103.02
2022-01-05,78.47,103.02
2022-01-12,81.88,99.21
2022-01-13,78.34,103.02
2022-01-15,87.19,103.02
2022-01-24,66.0,78.47
2022-01-27,54.15,66.0
2022-01-28,50.39,30.29
2022-02-01,52.18,66.0
2022-02-02,47.56,66.0
2022-02-13,51.65,66.0
2022-02-19,50.48,61.66
2022-02-21,50.12,59.58
2022-02-23,59.58,91.35
2022-02-26,78.13,97.18
2022-02-28,91.35,99.21
2022-03-01,89.7,103.02
2022-03-09,99.21,103.02
2022-03-11,88.42,103.02
2022-03-14,94.87,103.02
2022-03-20,90.62,103.02
2022-03-21,95.76,103.02
2022-03-25,90.39,103.02
2022-03-28,97.18,103.02
2022-03-31,103.02,103.02
2022-04-14,81.57,103.02
2022-04-16,80.96,103.02
2022-04-17,77.19,103.02
2022-04-19,95.46,103.02
2022-04-27,89.03,103.02
2022-05-09,30.29,30.29
2022-05-31,8.87,8.87
2022-06-01,6.5295,0.2906
2022-06-07,3.8277,0.2906
2022-06-18,1.865,0.2906
2022-06-25,1.9917,0.2906
2022-06-26,2.0137,0.2906
2022-06-29,2.622,0.2906
2022-06-30,2.1288,0.2906
2022-07-08,2.2757,0.2906
2022-07-11,1.887,0.2906
2022-07-18,2.0365,0.2906
2022-07-26,1.7147,0.2906
2022-07-29,1.9171,0.2906
2022-07-31,1.88,0.2906
2022-08-01,2.2735,0.2906
