,Real,Predicted
2020-08-21,2.9317,2.2053
2020-08-29,3.9535,2.2053
2020-09-01,4.3397,2.2053
2020-09-03,3.5051,44.98
2020-09-06,3.0941,44.98
2020-09-07,2.9237,44.98
2020-09-09,3.6001,3.4247
2020-09-13,3.2603,44.98
2020-09-21,2.7672,44.98
2020-09-24,3.1433,44.98
2020-09-25,3.1937,44.98
2020-10-01,2.8669,2.2053
2020-10-05,2.6522,2.2053
2020-10-07,2.3005,44.98
2020-10-09,2.5314,2.2053
2020-10-10,2.3999,2.2053
2020-10-16,2.1398,2.2053
2020-10-17,2.2053,2.2053
2020-10-19,2.0592,2.2053
2020-10-20,1.885,2.2053
2020-10-21,1.8887,44.98
2020-10-25,1.7926,2.2053
2020-10-26,1.6799,44.98
2020-10-28,1.518,44.98
2020-10-29,1.4327,2.2053
2020-11-03,1.4118,2.2053
2020-11-05,1.4007,2.2053
2020-11-10,2.2661,44.98
2020-11-11,2.0,2.2053
2020-11-13,2.0141,2.2053
2020-11-14,1.9182,2.2053
2020-11-17,2.1998,44.98
2020-11-21,2.3822,44.98
2020-11-30,1.9665,2.2053
2020-12-03,2.0967,44.98
2020-12-06,1.8505,2.2053
2020-12-07,1.8272,2.2053
2020-12-10,1.5683,2.2053
2020-12-16,1.7829,44.98
2020-12-17,1.68,44.98
2020-12-18,1.7014,2.2053
2020-12-19,1.6707,2.2053
2020-12-20,1.5635,2.2053
2020-12-31,1.5073,44.98
2021-01-02,1.7999,3.6001
2021-01-07,2.3635,2.3635
2021-01-15,3.2475,44.98
2021-01-16,3.4247,3.4247
2021-01-22,3.3352,3.4247
2021-01-27,3.675,44.98
2021-01-29,3.8293,44.98
2021-02-09,7.8005,44.98
2021-02-10,9.09,44.98
2021-02-17,8.2357,44.98
2021-02-18,8.9771,44.98
2021-02-22,14.4191,14.4191
2021-02-24,17.1691,14.4191
2021-02-26,13.5962,3.4247
2021-03-10,14.2048,44.98
2021-03-16,13.6392,44.98
2021-03-23,14.1552,44.98
2021-03-27,16.4589,44.98
2021-04-01,19.0443,44.98
2021-04-11,27.8517,44.98
2021-04-20,31.7028,3.4247
2021-04-26,43.878,38.925
2021-05-03,45.912,44.98
2021-05-05,44.98,44.98
2021-05-07,43.182,44.98
2021-05-09,44.33,44.98
2021-05-10,42.854,44.98
2021-05-21,38.925,14.4191
2021-05-22,31.222,14.4191
2021-05-25,29.973,14.4191
2021-05-28,28.989,44.98
2021-06-02,33.994,44.98
2021-06-03,39.602,17.1691
2021-06-16,39.728,44.98
2021-07-10,31.693,44.98
2021-07-20,23.474,44.98
2021-07-22,27.699,44.98
2021-07-28,27.875,44.98
2021-07-30,32.354,44.98
2021-08-05,37.353,44.98
2021-08-14,44.14,44.98
2021-08-19,72.764,72.764
2021-08-20,78.643,44.98
2021-08-22,72.775,44.98
2021-08-29,94.23,44.98
2021-08-31,108.27,108.27
2021-09-02,128.23,146.4
2021-09-03,146.4,191.02
2021-09-07,173.46,173.46
2021-09-08,191.02,191.02
2021-09-11,179.04,243.37
2021-09-13,169.53,169.53
2021-09-19,152.76,243.37
2021-09-21,124.29,146.4
2021-09-28,132.2,153.87
2021-10-03,172.98,243.37
2021-10-06,153.87,179.04
2021-10-10,147.55,193.1
2021-10-14,150.02,193.1
2021-10-17,160.12,197.75
2021-10-23,197.75,239.04
2021-10-28,195.42,243.37
2021-11-02,220.82,239.04
2021-11-03,243.37,243.37
2021-11-05,236.06,239.04
2021-11-09,239.04,239.04
2021-11-11,233.37,239.04
2021-11-17,218.94,239.04
2021-11-24,205.7,239.04
2021-11-28,200.69,233.37
2021-12-06,193.56,236.06
2021-12-07,190.19,233.37
2021-12-13,155.21,205.7
2021-12-16,176.86,233.37
2021-12-25,193.1,233.37
2022-01-03,170.15,193.1
2022-01-04,167.72,193.1
2022-01-05,154.52,193.1
2022-01-09,140.82,167.72
2022-01-14,146.17,170.15
2022-01-15,147.64,170.15
2022-01-29,96.13,44.98
2022-01-31,99.49,44.98
2022-02-01,110.02,44.98
2022-02-02,101.88,122.77
2022-02-12,95.96,99.23
2022-02-18,89.86,99.23
2022-02-21,82.96,44.98
2022-02-23,84.59,44.98
2022-02-28,99.68,44.98
2022-03-01,98.66,44.98
2022-03-07,81.66,44.98
2022-03-09,88.06,44.98
2022-03-11,80.67,44.98
2022-03-14,81.22,44.98
2022-03-17,87.8,44.98
2022-03-21,88.59,44.98
2022-03-28,105.75,44.98
2022-03-31,122.77,179.04
2022-04-03,136.9,155.21
2022-04-11,99.67,44.98
2022-04-13,104.94,147.64
2022-04-14,100.77,44.98
2022-04-17,100.15,147.64
2022-04-24,99.23,99.23
2022-04-27,98.36,99.23
2022-05-01,89.68,44.98
2022-05-03,85.86,99.23
2022-05-05,84.52,44.98
2022-05-06,81.68,44.98
2022-05-13,48.92,43.878
2022-05-14,52.43,44.98
2022-05-18,49.93,44.98
2022-05-29,44.98,44.98
2022-05-31,45.77,44.98
2022-06-04,39.0,44.98
2022-06-07,39.31,29.973
2022-06-12,30.61,3.4247
2022-06-14,29.59,14.4191
2022-06-26,39.39,44.98
2022-06-30,33.76,44.98
2022-07-02,33.36,44.98
2022-07-08,38.12,44.98
2022-07-11,33.42,44.98
2022-07-16,39.58,44.98
2022-07-17,38.62,44.98
2022-07-18,43.52,44.98
2022-07-19,44.87,29.973
2022-07-22,40.54,44.98
2022-07-23,39.97,44.98
2022-07-26,36.25,44.98
2022-07-28,42.91,44.98
2022-07-29,41.91,44.98
2022-07-31,42.35,44.98
2022-08-01,41.65,44.98
