date,overall_sentiment_score,overall_sentiment_label
3/7/2022,0.0905325,Neutral
3/9/2022,-0.165764,Somewhat-Bearish
3/10/2022,0.168824,Neutral
3/11/2022,0.025526,Neutral
3/15/2022,-0.01145,Neutral
3/16/2022,0.226996,Somewhat-Bullish
3/17/2022,0.05493566667,Neutral
3/18/2022,0.08601766667,Neutral
3/22/2022,0.102715,Neutral
3/23/2022,0.061557,Neutral
3/24/2022,0.086426,Neutral
3/27/2022,0.037136,Neutral
3/28/2022,0.092568,Neutral
3/29/2022,0.03726466667,Neutral
3/30/2022,0.1223805,Neutral
4/1/2022,0.02043775,Neutral
4/2/2022,0.1300043333,Neutral
4/3/2022,0.085994,Neutral
4/6/2022,0.1693145,Somewhat-Bullish
4/7/2022,0.01876,Neutral
4/8/2022,0.0938,Neutral
4/9/2022,-0.077548,Neutral
4/11/2022,-0.30238,Somewhat-Bearish
4/12/2022,-0.0238025,Neutral
4/13/2022,0.0709955,Neutral
4/14/2022,0.0680315,Somewhat-Bullish
4/16/2022,0.229165,Somewhat-Bullish
4/17/2022,0.035062,Neutral
4/18/2022,-0.00457,Neutral
4/20/2022,0.003806333333,Neutral
4/21/2022,0.250858,Somewhat-Bullish
4/25/2022,-0.03224,Neutral
4/28/2022,0.296438,Somewhat-Bullish
4/29/2022,-0.070289,Neutral
5/1/2022,0.032641,Neutral
5/3/2022,0.042872,Somewhat-Bullish
5/4/2022,0.226739,Somewhat-Bullish
5/7/2022,0.204775,Somewhat-Bullish
5/8/2022,-0.057464,Neutral
5/9/2022,0.031423,Neutral
5/10/2022,-0.0021385,Neutral
5/11/2022,-0.022857,Neutral
5/12/2022,-0.235742,Somewhat-Bearish
5/13/2022,-0.03807366667,Somewhat-Bearish
5/14/2022,0.241653,Somewhat-Bullish
5/17/2022,0.171452,Somewhat-Bullish
5/18/2022,-0.088614,Somewhat-Bearish
5/20/2022,-0.260535,Somewhat-Bearish
5/23/2022,-0.011377,Neutral
5/26/2022,0.126094,Neutral
5/27/2022,0.078025,Neutral
5/30/2022,0.021574,Neutral
6/1/2022,-0.069501,Neutral
6/2/2022,-0.331836,Somewhat-Bearish
6/3/2022,0.0137955,Neutral
6/6/2022,0.004712,Neutral
6/7/2022,-0.1178503333,Neutral
6/8/2022,0.0179955,Neutral
6/9/2022,-0.206365,Somewhat-Bearish
6/11/2022,0.089257,Neutral
6/12/2022,0.136747,Neutral
6/13/2022,0.03059,Neutral
6/15/2022,-0.216554,Somewhat-Bearish
6/16/2022,-0.154852,Somewhat-Bearish
6/17/2022,-0.231145,Somewhat-Bearish
6/18/2022,-0.147123,Neutral
6/20/2022,-0.0178745,Neutral
6/21/2022,0.056964,Neutral
6/23/2022,-0.018297,Neutral
6/24/2022,-0.103721,Neutral
6/28/2022,0.037644,Neutral
6/29/2022,-0.473568,Bearish
7/1/2022,-0.01934933333,Somewhat-Bearish
7/2/2022,0.214502,Somewhat-Bullish
7/5/2022,0.026595,Neutral
7/6/2022,0.04363866667,Neutral
7/7/2022,0.094856,Neutral
7/11/2022,0.109658,Neutral
7/12/2022,0.2897,Somewhat-Bullish
7/13/2022,0.056915,Neutral
7/14/2022,0.253552,Somewhat-Bullish
7/15/2022,0.089743,Neutral
7/16/2022,0.1222265,Neutral
7/18/2022,0.2025075,Somewhat-Bullish
7/19/2022,0.0864575,Neutral
7/20/2022,0.086137,Somewhat-Bullish
7/21/2022,-0.098877,Neutral
7/24/2022,0.207881,Somewhat-Bullish
7/25/2022,0.480389,Bullish
7/26/2022,-0.0245575,Neutral
7/27/2022,0.187983,Somewhat-Bullish
7/28/2022,0.187661,Somewhat-Bullish
7/29/2022,0.254686,Somewhat-Bullish
