,index
0,2020-08-21
1,2020-08-22
2,2020-08-23
3,2020-08-24
4,2020-08-25
5,2020-08-26
6,2020-08-27
7,2020-08-28
8,2020-08-29
9,2020-08-30
10,2020-08-31
11,2020-09-01
12,2020-09-02
13,2020-09-03
14,2020-09-04
15,2020-09-05
16,2020-09-06
17,2020-09-07
18,2020-09-08
19,2020-09-09
20,2020-09-10
21,2020-09-11
22,2020-09-12
23,2020-09-13
24,2020-09-14
25,2020-09-15
26,2020-09-16
27,2020-09-17
28,2020-09-18
29,2020-09-19
30,2020-09-20
31,2020-09-21
32,2020-09-22
33,2020-09-23
34,2020-09-24
35,2020-09-25
36,2020-09-26
37,2020-09-27
38,2020-09-28
39,2020-09-29
40,2020-09-30
41,2020-10-01
42,2020-10-02
43,2020-10-03
44,2020-10-04
45,2020-10-05
46,2020-10-06
47,2020-10-07
48,2020-10-08
49,2020-10-09
50,2020-10-10
51,2020-10-11
52,2020-10-12
53,2020-10-13
54,2020-10-14
55,2020-10-15
56,2020-10-16
57,2020-10-17
58,2020-10-18
59,2020-10-19
60,2020-10-20
61,2020-10-21
62,2020-10-22
63,2020-10-23
64,2020-10-24
65,2020-10-25
66,2020-10-26
67,2020-10-27
68,2020-10-28
69,2020-10-29
70,2020-10-30
71,2020-10-31
72,2020-11-01
73,2020-11-02
74,2020-11-03
75,2020-11-04
76,2020-11-05
77,2020-11-06
78,2020-11-07
79,2020-11-08
80,2020-11-09
81,2020-11-10
82,2020-11-11
83,2020-11-12
84,2020-11-13
85,2020-11-14
86,2020-11-15
87,2020-11-16
88,2020-11-17
89,2020-11-18
90,2020-11-19
91,2020-11-20
92,2020-11-21
93,2020-11-22
94,2020-11-23
95,2020-11-24
96,2020-11-25
97,2020-11-26
98,2020-11-27
99,2020-11-28
100,2020-11-29
101,2020-11-30
102,2020-12-01
103,2020-12-02
104,2020-12-03
105,2020-12-04
106,2020-12-05
107,2020-12-06
108,2020-12-07
109,2020-12-08
110,2020-12-09
111,2020-12-10
112,2020-12-11
113,2020-12-12
114,2020-12-13
115,2020-12-14
116,2020-12-15
117,2020-12-16
118,2020-12-17
119,2020-12-18
120,2020-12-19
121,2020-12-20
122,2020-12-21
123,2020-12-22
124,2020-12-23
