,March_BNB,March_BNB,March_BNB,April_BNB,April_BNB,April_BNB,May_BNB,May_BNB,May_BNB,June_BNB,June_BNB,June_BNB,July_BNB,July_BNB,July_BNB
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
0,2022-03-06 13:54:48,0.172032,Somewhat-Bullish,2022-04-01 15:13:09,-0.001537,Neutral,2022-05-02 07:41:25,0.034793,Neutral,2022-06-01 07:03:45,0.013843,Neutral,2022-07-01 05:38:43,0.026933,Neutral
1,2022-03-07 10:55:00,0.00815,Neutral,2022-04-01 18:35:11,-0.089002,Neutral,2022-05-03 23:15:30,-0.053974,Neutral,2022-06-01 12:48:01,0.19748,Somewhat-Bullish,2022-07-01 05:46:38,0.02224,Neutral
2,2022-03-07 10:55:00,0.005586,Neutral,2022-04-01 20:30:00,-0.068017,Neutral,2022-05-04 05:53:35,0.041792,Neutral,2022-06-01 18:44:08,-0.109243,Neutral,2022-07-01 13:23:31,0.051837,Neutral
3,2022-03-07 10:55:00,0.013795,Neutral,2022-04-03 10:15:00,-0.059328,Neutral,2022-05-04 14:00:19,0.02816,Neutral,2022-06-01 20:00:00,0.014602,Neutral,2022-07-01 18:50:11,-0.22767,Somewhat-Bearish
4,2022-03-07 14:32:00,0.40772,Bullish,2022-04-04 03:37:43,0.021571,Neutral,2022-05-04 21:29:20,-0.076665,Neutral,2022-06-01 20:24:00,0.064944,Neutral,2022-07-01 21:00:00,0.011141,Neutral
5,2022-03-07 14:32:02,0.404223,Bullish,2022-04-04 17:00:00,0.219305,Somewhat-Bullish,2022-05-05 08:59:02,0.024472,Neutral,2022-06-02 06:16:33,0.012292,Neutral,2022-07-02 07:45:29,0.01872,Neutral
6,2022-03-07 21:00:00,0.022179,Neutral,2022-04-04 23:53:43,-0.089246,Neutral,2022-05-05 09:17:30,0.07458,Neutral,2022-06-02 08:02:24,-0.316585,Somewhat-Bearish,2022-07-04 07:52:57,-0.027161,Neutral
7,2022-03-08 18:19:00,-0.21959,Somewhat-Bearish,2022-04-05 02:42:53,0.02349,Neutral,2022-05-05 13:38:35,-0.077328,Neutral,2022-06-02 09:47:00,0.17577,Somewhat-Bullish,2022-07-04 15:00:00,0.07752,Neutral
8,2022-03-09 03:05:55,-0.070544,Neutral,2022-04-05 07:47:23,0.00354,Neutral,2022-05-05 14:00:00,0.037946,Neutral,2022-06-02 17:20:24,0.162007,Somewhat-Bullish,2022-07-04 16:24:30,-0.107049,Neutral
