,March_BTC,March_BTC,March_BTC,April_BTC,April_BTC,April_BTC,May_BTC,May_BTC,May_BTC,June_BTC,June_BTC,June_BTC,July_BTC,July_BTC,July_BTC
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
0,2022-03-01 12:58:36,-0.138797,Neutral,2022-04-01 00:08:13,-0.105202,Neutral,2022-05-01 00:04:00,-0.16884,Somewhat-Bearish,2022-06-01 01:02:28,0.024774,Neutral,2022-07-01 00:16:53,-0.333194,Somewhat-Bearish
1,2022-03-02 02:32:56,-0.031243,Neutral,2022-04-01 01:15:18,-0.059152,Neutral,2022-05-01 00:58:07,-0.342734,Somewhat-Bearish,2022-06-01 01:05:47,-0.073786,Neutral,2022-07-01 01:27:20,-0.041959,Neutral
2,2022-03-02 08:00:00,-0.174572,Somewhat-Bearish,2022-04-01 01:26:14,-0.047444,Neutral,2022-05-01 03:42:23,0.098271,Neutral,2022-06-01 02:05:00,-0.088511,Neutral,2022-07-01 01:51:34,-0.242941,Somewhat-Bearish
3,2022-03-02 10:00:25,-0.03647,Neutral,2022-04-01 01:48:16,0.076395,Neutral,2022-05-01 03:42:45,-0.075815,Neutral,2022-06-01 03:05:45,0.006686,Neutral,2022-07-01 02:26:20,-0.03906,Neutral
4,2022-03-02 11:00:26,0.03428,Neutral,2022-04-01 02:21:00,-0.068188,Neutral,2022-05-01 07:34:31,0.027707,Neutral,2022-06-01 03:59:11,-0.005764,Neutral,2022-07-01 02:38:00,-0.023221,Neutral
5,2022-03-02 19:46:21,0.109518,Neutral,2022-04-01 02:39:44,-0.048378,Neutral,2022-05-01 09:33:00,0.02248,Neutral,2022-06-01 04:02:34,-0.160584,Somewhat-Bearish,2022-07-01 02:39:35,0.052279,Neutral
6,2022-03-02 23:00:50,-0.119252,Neutral,2022-04-01 03:25:00,-0.022963,Neutral,2022-05-01 10:00:56,0.15768,Somewhat-Bullish,2022-06-01 04:57:46,-0.135486,Neutral,2022-07-01 02:59:56,-0.037288,Neutral
7,2022-03-03 01:18:35,-0.061908,Neutral,2022-04-01 03:50:47,-0.006005,Neutral,2022-05-01 10:25:09,-0.182028,Somewhat-Bearish,2022-06-01 05:01:00,-0.064875,Neutral,2022-07-01 03:34:59,0.06358,Neutral
8,2022-03-03 01:42:20,-0.015654,Neutral,2022-04-01 04:00:23,0.075784,Neutral,2022-05-01 10:30:08,-0.096409,Neutral,2022-06-01 05:27:47,0.070368,Neutral,2022-07-01 03:59:34,-0.348072,Somewhat-Bearish
9,2022-03-03 08:00:00,-0.00692,Neutral,2022-04-01 04:00:23,-0.117941,Neutral,2022-05-01 11:45:00,-0.082761,Neutral,2022-06-01 05:47:40,-0.109602,Neutral,2022-07-01 04:04:27,-0.025959,Neutral
10,2022-03-03 08:00:00,-0.016177,Neutral,2022-04-01 04:17:18,-0.048642,Neutral,2022-05-01 12:47:23,-0.009511,Neutral,2022-06-01 05:55:03,-0.119485,Neutral,2022-07-01 04:41:14,-0.031201,Neutral
11,2022-03-03 08:30:14,-0.228012,Somewhat-Bearish,2022-04-01 04:21:56,-0.034091,Neutral,2022-05-01 12:51:00,-0.067012,Neutral,2022-06-01 06:10:39,-0.038889,Neutral,2022-07-01 04:44:08,-0.226312,Somewhat-Bearish
12,2022-03-03 10:52:47,0.015271,Neutral,2022-04-01 04:22:00,-0.326333,Somewhat-Bearish,2022-05-01 13:25:48,0.506123,Bullish,2022-06-01 07:03:45,0.013843,Neutral,2022-07-01 05:38:43,0.026933,Neutral
13,2022-03-03 11:00:13,0.196193,Somewhat-Bullish,2022-04-01 04:43:31,-0.02779,Neutral,2022-05-01 14:00:00,0.069127,Neutral,2022-06-01 08:00:00,-0.140406,Neutral,2022-07-01 05:41:30,-0.167958,Somewhat-Bearish
14,2022-03-03 11:44:52,0.006576,Neutral,2022-04-01 04:47:04,0.002539,Neutral,2022-05-01 15:14:47,-0.158377,Somewhat-Bearish,2022-06-01 08:42:08,-0.007612,Neutral,2022-07-01 05:46:38,0.02224,Neutral
15,2022-03-03 16:59:15,0.068181,Neutral,2022-04-01 05:46:23,-0.0368,Neutral,2022-05-01 16:19:21,0.059294,Neutral,2022-06-01 08:56:33,-0.14962,Neutral,2022-07-01 06:42:26,-0.049881,Neutral
16,2022-03-03 17:25:17,-0.04104,Neutral,2022-04-01 06:11:00,0.133329,Neutral,2022-05-01 16:52:22,-0.153647,Somewhat-Bearish,2022-06-01 08:58:56,-0.075088,Neutral,2022-07-01 07:03:33,-0.187275,Somewhat-Bearish
17,2022-03-03 21:29:08,-0.159127,Somewhat-Bearish,2022-04-01 06:11:00,0.133329,Neutral,2022-05-01 17:17:59,-0.179368,Somewhat-Bearish,2022-06-01 09:00:00,0.009448,Neutral,2022-07-01 07:11:00,-0.074816,Neutral
18,2022-03-04 08:00:00,-0.260707,Somewhat-Bearish,2022-04-01 06:24:37,0.017894,Neutral,2022-05-01 17:30:12,-0.076922,Neutral,2022-06-01 09:02:22,-0.00474,Neutral,2022-07-01 07:45:11,-0.024896,Neutral
19,2022-03-04 08:00:00,-0.460275,Bearish,2022-04-01 06:24:37,0.017894,Neutral,2022-05-01 20:13:54,-0.279123,Somewhat-Bearish,2022-06-01 09:23:20,0.005584,Neutral,2022-07-01 07:48:52,-0.170188,Somewhat-Bearish
20,2022-03-04 08:00:00,-0.387534,Bearish,2022-04-01 07:07:37,-0.062003,Neutral,2022-05-01 20:17:14,-0.225415,Somewhat-Bearish,2022-06-01 09:29:17,0.117926,Neutral,2022-07-01 08:17:41,-0.037555,Neutral
21,2022-03-04 10:42:17,-0.117308,Neutral,2022-04-01 07:10:00,-0.116446,Neutral,2022-05-01 21:35:08,-0.070285,Neutral,2022-06-01 09:32:24,-0.096531,Neutral,2022-07-01 08:28:27,-0.112006,Neutral
22,2022-03-04 11:30:29,-0.098715,Neutral,2022-04-01 07:44:28,-0.137243,Neutral,2022-05-01 22:08:12,-0.087102,Neutral,2022-06-01 10:00:00,-0.190092,Somewhat-Bearish,2022-07-01 08:30:00,0.079002,Neutral
23,2022-03-04 11:30:29,-0.111531,Neutral,2022-04-01 08:42:14,-0.124601,Neutral,2022-05-02 01:47:18,0.01638,Neutral,2022-06-01 10:00:00,0.018877,Neutral,2022-07-01 08:33:12,-0.265664,Somewhat-Bearish
24,2022-03-04 12:32:30,-0.010611,Neutral,2022-04-01 09:13:39,0.081627,Neutral,2022-05-02 02:43:07,-0.155894,Somewhat-Bearish,2022-06-01 10:00:01,-0.038907,Neutral,2022-07-01 08:46:27,-0.206507,Somewhat-Bearish
25,2022-03-04 14:01:01,-0.107241,Neutral,2022-04-01 09:15:02,-0.277181,Somewhat-Bearish,2022-05-02 02:46:05,-0.101923,Neutral,2022-06-01 10:00:23,-0.198634,Somewhat-Bearish,2022-07-01 08:46:27,-0.110602,Neutral
26,2022-03-04 14:45:00,0.051684,Neutral,2022-04-01 09:33:15,-0.003388,Neutral,2022-05-02 03:51:38,0.017807,Neutral,2022-06-01 10:08:33,-0.028454,Neutral,2022-07-01 08:46:27,-0.070101,Neutral
27,2022-03-04 15:24:00,0.054339,Neutral,2022-04-01 09:47:18,-0.033429,Neutral,2022-05-02 03:53:52,-0.077288,Neutral,2022-06-01 10:13:30,-0.048364,Neutral,2022-07-01 09:42:00,-0.049169,Neutral
28,2022-03-04 16:00:00,0.048122,Neutral,2022-04-01 09:50:52,-0.050009,Neutral,2022-05-02 04:00:32,0.405449,Bullish,2022-06-01 11:00:09,-0.066551,Neutral,2022-07-01 09:44:00,-0.474819,Bearish
29,2022-03-04 16:00:00,0.048122,Neutral,2022-04-01 09:52:00,0.167856,Somewhat-Bullish,2022-05-02 05:54:46,-0.218663,Somewhat-Bearish,2022-06-01 11:16:40,-0.147699,Neutral,2022-07-01 09:44:33,-0.01117,Neutral
30,2022-03-04 16:30:00,-0.357834,Bearish,2022-04-01 10:11:00,-0.142004,Neutral,2022-05-02 07:00:00,0.041117,Neutral,2022-06-01 12:02:37,0.030119,Neutral,2022-07-01 09:52:04,-0.058383,Neutral
31,2022-03-04 17:22:00,0.125201,Neutral,2022-04-01 10:20:48,0.033212,Neutral,2022-05-02 07:00:00,0.040319,Neutral,2022-06-01 12:06:02,-0.251774,Somewhat-Bearish,2022-07-01 09:57:06,-0.082547,Neutral
32,2022-03-04 17:36:07,0.054786,Neutral,2022-04-01 10:30:00,-0.130565,Neutral,2022-05-02 07:08:12,0.055826,Neutral,2022-06-01 12:08:31,-0.115107,Neutral,2022-07-01 10:00:00,0.365629,Bullish
33,2022-03-04 18:42:00,-0.12326,Neutral,2022-04-01 11:00:00,0.060341,Neutral,2022-05-02 07:41:25,0.034793,Neutral,2022-06-01 12:21:27,-0.065085,Neutral,2022-07-01 10:11:00,-0.231911,Somewhat-Bearish
34,2022-03-04 20:32:12,-0.036225,Neutral,2022-04-01 11:26:54,-0.129414,Neutral,2022-05-02 07:49:25,-0.161398,Somewhat-Bearish,2022-06-01 12:30:00,-0.143085,Neutral,2022-07-01 10:14:33,-0.128071,Neutral
35,2022-03-04 21:35:59,0.176178,Somewhat-Bullish,2022-04-01 11:46:19,0.079296,Neutral,2022-05-02 08:07:00,-0.066487,Neutral,2022-06-01 12:40:33,-0.348262,Somewhat-Bearish,2022-07-01 10:20:25,-0.367003,Bearish
36,2022-03-04 22:28:46,0.033246,Neutral,2022-04-01 11:48:02,-0.129396,Neutral,2022-05-02 08:31:12,-0.00454,Neutral,2022-06-01 12:46:48,-0.324914,Somewhat-Bearish,2022-07-01 10:24:38,-0.14451,Neutral
