Date,Alpha_sent,overall_sentiment_label
3/2/2022,0.03428,Neutral
3/3/2022,0.196193,Somewhat-Bullish
3/6/2022,0.277901,Somewhat-Bullish
3/7/2022,0.032301,Neutral
3/8/2022,-0.016391,Neutral
3/9/2022,-0.046241,Neutral
3/10/2022,0.120044,Somewhat-Bullish
3/11/2022,0.018234,Neutral
3/12/2022,0.059796,Neutral
3/14/2022,-0.06767,Neutral
3/15/2022,-0.008675,Neutral
3/16/2022,-0.037845,Neutral
3/17/2022,-0.090183,Neutral
3/18/2022,-0.021546,Neutral
3/19/2022,0.04382,Neutral
3/20/2022,-0.002172,Neutral
3/21/2022,0.006597,Neutral
3/22/2022,0.022237,Neutral
3/23/2022,-0.000511,Neutral
3/24/2022,0.027004,Neutral
3/25/2022,-0.011357,Neutral
3/26/2022,-0.013483,Neutral
3/27/2022,-0.012904,Neutral
3/28/2022,0.014743,Neutral
3/29/2022,-0.03182,Neutral
3/30/2022,-0.005645,Neutral
4/1/2022,0.01968,Somewhat-Bullish
4/2/2022,0.020099,Neutral
4/3/2022,0.062583,Neutral
4/4/2022,0.031408,Neutral
4/5/2022,0.055277,Neutral
4/6/2022,-0.059096,Neutral
4/7/2022,-0.02121,Neutral
4/8/2022,-0.075562,Somewhat-Bearish
4/9/2022,0.038428,Neutral
4/10/2022,0.071051,Neutral
4/11/2022,-0.155599,Somewhat-Bearish
4/12/2022,0.011182,Somewhat-Bullish
4/13/2022,-0.039252,Neutral
4/14/2022,0.067605,Neutral
4/15/2022,-0.005988,Neutral
4/16/2022,-0.04168,Somewhat-Bearish
4/17/2022,0.033612,Neutral
4/18/2022,-0.103198,Somewhat-Bearish
4/19/2022,-0.024825,Somewhat-Bearish
4/20/2022,-0.043463,Somewhat-Bearish
4/21/2022,-0.000214,Somewhat-Bearish
4/22/2022,-0.035803,Neutral
4/25/2022,-0.050009,Somewhat-Bearish
4/26/2022,-0.070867,Neutral
4/27/2022,0.004765,Neutral
4/28/2022,0.08384,Neutral
4/29/2022,-0.052447,Neutral
4/30/2022,-0.020636,Neutral
5/1/2022,-0.091756,Neutral
5/2/2022,-0.041102,Somewhat-Bearish
5/3/2022,0.042448,Neutral
5/4/2022,0.011476,Neutral
5/5/2022,-0.079871,Neutral
5/6/2022,0.032369,Neutral
5/7/2022,-0.180614,Somewhat-Bearish
5/8/2022,-0.078425,Neutral
5/9/2022,-0.176912,Somewhat-Bearish
5/10/2022,-0.129647,Somewhat-Bearish
5/11/2022,-0.120573,Neutral
5/12/2022,-0.101747,Neutral
5/13/2022,-0.112842,Somewhat-Bearish
5/14/2022,-0.132192,Somewhat-Bearish
5/15/2022,-0.018041,Neutral
5/16/2022,-0.100131,Neutral
5/17/2022,-0.129922,Somewhat-Bearish
5/18/2022,-0.124438,Neutral
5/19/2022,-0.008664,Neutral
5/20/2022,0.095895,Neutral
5/21/2022,0.046208,Neutral
5/23/2022,-0.130762,Neutral
5/24/2022,-0.062066,Somewhat-Bearish
5/25/2022,-0.040287,Somewhat-Bearish
5/26/2022,0.001729,Somewhat-Bullish
5/27/2022,-0.121713,Neutral
5/28/2022,-0.024838,Neutral
5/30/2022,-0.071274,Neutral
6/1/2022,-0.066038,Neutral
6/2/2022,0.060326,Neutral
6/3/2022,-0.072421,Neutral
6/4/2022,-0.054686,Neutral
6/5/2022,-0.110375,Neutral
6/6/2022,-0.016163,Neutral
6/7/2022,0.012188,Neutral
6/8/2022,0.003845,Neutral
6/9/2022,0.013468,Neutral
6/10/2022,-0.149325,Neutral
6/11/2022,-0.149383,Neutral
6/12/2022,0.037176,Neutral
6/13/2022,-0.15876,Somewhat-Bearish
6/14/2022,-0.185706,Neutral
6/15/2022,-0.108064,Somewhat-Bearish
6/16/2022,-0.144217,Somewhat-Bearish
6/17/2022,-0.042257,Neutral
6/18/2022,-0.076297,Neutral
6/19/2022,-0.026588,Neutral
6/20/2022,-0.053882,Neutral
6/21/2022,0.052282,Neutral
6/22/2022,-0.017548,Neutral
6/23/2022,-0.092115,Neutral
6/24/2022,0.015155,Neutral
6/25/2022,0.063201,Neutral
6/26/2022,-0.001681,Neutral
6/27/2022,-0.013603,Neutral
6/28/2022,0.012642,Neutral
6/29/2022,-0.012186,Neutral
7/1/2022,-0.076959,Somewhat-Bearish
7/2/2022,0.01872,Neutral
7/4/2022,-0.038271,Neutral
7/5/2022,0.050001,Somewhat-Bullish
7/6/2022,-0.02035,Neutral
7/7/2022,-0.030773,Somewhat-Bearish
7/8/2022,0.001907,Neutral
7/9/2022,0.139989,Neutral
7/11/2022,0.175623,Somewhat-Bullish
7/12/2022,0.068277,Neutral
7/13/2022,-0.077168,Neutral
7/14/2022,0.016169,Neutral
7/15/2022,0.125996,Neutral
7/16/2022,-0.028688,Neutral
7/17/2022,0.295975,Somewhat-Bullish
7/18/2022,0.073731,Neutral
7/19/2022,0.105758,Somewhat-Bullish
7/20/2022,0.091414,Somewhat-Bullish
7/21/2022,-0.015118,Neutral
7/22/2022,0.110964,Neutral
7/23/2022,0.080882,Neutral
7/24/2022,0.139202,Neutral
7/25/2022,0.052356,Neutral
7/26/2022,0.027057,Neutral
7/27/2022,0.080505,Neutral
7/28/2022,0.277171,Bullish
7/29/2022,0.137793,Neutral
7/30/2022,0.129813,Somewhat-Bullish
