Date,Real,Predicted
8/21/2020,0.12315,0.4904
8/29/2020,0.11623,0.4904
9/1/2020,0.12445,0.4904
9/3/2020,0.09446,0.09693
9/6/2020,0.0926,0.4904
9/7/2020,0.0936,0.4904
9/9/2020,0.09331,0.4904
9/13/2020,0.09507,0.4904
9/21/2020,0.07983,0.4904
9/24/2020,0.08254,0.4904
9/25/2020,0.09693,0.13334
10/1/2020,0.09804,0.4904
10/5/2020,0.09738,0.10639
10/7/2020,0.09374,0.10639
10/9/2020,0.10129,0.4904
10/10/2020,0.10493,0.4904
10/16/2020,0.10414,0.4904
10/17/2020,0.10598,0.10639
10/19/2020,0.10859,0.4904
10/20/2020,0.10238,0.4904
10/21/2020,0.10589,0.4904
10/25/2020,0.10639,0.10639
10/26/2020,0.10306,0.4904
10/28/2020,0.09869,0.4904
10/29/2020,0.09531,0.4904
11/3/2020,0.09357,0.4904
11/5/2020,0.09752,0.4904
11/10/2020,0.1059,0.4904
11/11/2020,0.10599,0.4904
11/13/2020,0.10629,0.4904
11/14/2020,0.10411,0.4904
11/17/2020,0.10947,0.4904
11/21/2020,0.13334,0.29928
11/30/2020,0.17204,0.13334
12/3/2020,0.16398,0.4904
12/6/2020,0.15873,0.4904
12/7/2020,0.15401,0.4904
12/10/2020,0.14188,0.4904
12/16/2020,0.16814,0.4904
12/17/2020,0.16336,0.13334
12/18/2020,0.16502,0.4904
12/19/2020,0.16433,0.4904
12/20/2020,0.16201,0.4904
12/31/2020,0.18134,0.4904
1/2/2021,0.17742,0.09693
1/7/2021,0.29928,0.29928
1/15/2021,0.30188,0.13334
1/16/2021,0.35071,0.29928
1/22/2021,0.34867,0.13334
1/27/2021,0.31144,0.4904
1/29/2021,0.34752,0.4904
2/9/2021,0.70562,0.4904
2/10/2021,0.93966,1.24303
2/17/2021,0.89206,0.4904
2/18/2021,0.91442,0.4904
2/22/2021,1.09703,1.24303
2/24/2021,1.04902,1.24924
2/26/2021,1.24303,1.24303
3/10/2021,1.13261,1.17
3/16/2021,1.24924,1.24303
3/23/2021,1.11639,1.17
3/27/2021,1.17678,1.17
4/1/2021,1.18377,1.17
4/11/2021,1.26355,1.17
4/20/2021,1.26689,1.17
4/26/2021,1.2375,1.17
5/3/2021,1.3622,1.17
5/5/2021,1.4798,1.5532
5/7/2021,1.653,1.5493
5/9/2021,1.7663,1.5493
5/10/2021,1.6423,1.7663
5/21/2021,1.5493,1.5493
5/22/2021,1.4629,1.5493
5/25/2021,1.5532,1.5493
5/28/2021,1.5133,1.5493
6/2/2021,1.7534,2.1878
6/3/2021,1.8453,2.27
6/16/2021,1.4851,1.17
7/10/2021,1.3356,1.059
7/20/2021,1.0539,1.17
7/22/2021,1.1856,1.059
7/28/2021,1.2875,1.17
7/30/2021,1.3108,1.17
8/5/2021,1.3859,1.17
8/14/2021,2.1878,2.4557
8/19/2021,2.4411,2.514
8/20/2021,2.4557,2.514
8/22/2021,2.7049,2.96
8/29/2021,2.851,2.966
8/31/2021,2.767,2.966
9/2/2021,2.96,2.96
9/3/2021,2.966,2.966
9/7/2021,2.514,2.514
9/8/2021,2.47,2.514
9/11/2021,2.638,2.96
9/13/2021,2.402,2.96
9/19/2021,2.283,2.966
9/21/2021,1.986,2.638
9/28/2021,2.037,2.283
10/3/2021,2.251,2.966
10/6/2021,2.209,2.966
10/10/2021,2.189,2.966
10/14/2021,2.172,2.283
10/17/2021,2.158,2.283
10/23/2021,2.166,2.166
10/28/2021,1.987,2.283
11/2/2021,1.971,2.166
11/3/2021,2.063,2.402
11/5/2021,1.982,2.166
11/9/2021,2.27,2.4557
11/11/2021,2.079,2.283
11/17/2021,1.876,1.17
11/24/2021,1.666,1.17
11/28/2021,1.594,1.17
12/6/2021,1.42,1.17
12/7/2021,1.378,1.17
12/13/2021,1.223,1.17
12/16/2021,1.24,1.059
12/25/2021,1.452,1.059
1/3/2022,1.319,1.059
1/4/2022,1.309,1.059
1/5/2022,1.23,1.059
1/9/2022,1.17,1.059
1/14/2022,1.292,1.059
1/15/2022,1.291,1.059
1/29/2022,1.059,1.059
1/31/2022,1.051,1.059
2/1/2022,1.096,1.059
2/2/2022,1.027,1.059
2/12/2022,1.059,1.059
2/18/2022,0.995,1.059
2/21/2022,0.856,1.17
2/23/2022,0.866,1.059
2/28/2022,0.962,1.059
3/1/2022,0.963,1.059
3/7/2022,0.793,1.059
3/9/2022,0.849,1.059
3/11/2022,0.788,1.059
3/14/2022,0.802,1.059
3/17/2022,0.835,1.059
3/21/2022,0.917,1.059
3/28/2022,1.17,1.17
3/31/2022,1.141,1.059
4/3/2022,1.186,1.059
4/11/2022,0.92,1.059
4/13/2022,0.974,1.059
4/14/2022,0.933,1.059
4/17/2022,0.914,1.059
4/24/2022,0.886,1.059
4/27/2022,0.8401,1.059
5/1/2022,0.7895,1.059
5/3/2022,0.7711,1.059
5/5/2022,0.7884,0.4904
5/6/2022,0.7832,1.059
5/13/2022,0.529,0.4904
5/14/2022,0.5372,0.4904
5/18/2022,0.5059,0.4904
5/29/2022,0.482,1.059
5/31/2022,0.6268,0.4904
6/4/2022,0.5665,1.059
6/7/2022,0.6141,0.4904
6/12/2022,0.4904,0.4904
6/14/2022,0.4831,0.4904
6/26/2022,0.4899,0.4904
6/30/2022,0.4599,0.4904
7/2/2022,0.4559,1.059
7/8/2022,0.4661,0.4904
7/11/2022,0.4347,0.4904
7/16/2022,0.4578,1.059
7/17/2022,0.4478,1.059
7/18/2022,0.4904,0.4904
7/19/2022,0.5152,0.4904
7/22/2022,0.4828,0.4904
7/23/2022,0.517,0.4904
7/26/2022,0.4677,0.4904
7/28/2022,0.513,0.4904
7/29/2022,0.5218,0.4904
7/31/2022,0.5161,1.059
8/1/2022,0.5124,1.059
