Date,Real,Predicted
8/21/2020,387.97,352.85
8/29/2020,398.65,368.32
9/1/2020,475.4,352.8
9/3/2020,381.4,381.4
9/6/2020,352.8,381.4
9/7/2020,353.59,352.8
9/9/2020,350.85,352.85
9/13/2020,366.42,348.97
9/21/2020,340.36,353.59
9/24/2020,348.97,348.97
9/25/2020,351.92,365.02
10/1/2020,352.85,341.58
10/5/2020,353.62,368.32
10/7/2020,341.58,368.32
10/9/2020,365.02,368.32
10/10/2020,370.52,368.32
10/16/2020,365.5,368.32
10/17/2020,368.32,368.32
10/19/2020,379.3,368.32
10/20/2020,368.52,368.32
10/21/2020,390.38,340.36
10/25/2020,405.86,368.32
10/26/2020,392.52,350.85
10/28/2020,388.23,365.02
10/29/2020,387.13,368.32
11/3/2020,387.88,341.58
11/5/2020,416.69,353.59
11/10/2020,450.34,352.85
11/11/2020,463.09,340.36
11/13/2020,476.43,348.97
11/14/2020,460.89,353.62
11/17/2020,482.15,340.36
11/21/2020,552.35,352.8
11/30/2020,616.66,352.8
12/3/2020,615.85,350.85
12/6/2020,601.54,368.32
12/7/2020,591.28,368.32
12/10/2020,558.99,368.32
12/16/2020,637.18,340.36
12/17/2020,642.7,381.4
12/18/2020,653.85,348.97
12/19/2020,658.03,352.85
12/20/2020,638.18,365.02
12/31/2020,736.42,352.85
1/2/2021,774.56,353.59
1/7/2021,1224.87,1208.9
1/15/2021,1168.53,1208.9
1/16/2021,1227.83,1232.62
1/22/2021,1232.62,1208.9
1/27/2021,1239.03,1208.9
1/29/2021,1379.5,1208.9
2/9/2021,1769.13,1813.33
2/10/2021,1740.78,1724.52
2/17/2021,1849.88,1678.12
2/18/2021,1939.61,1939.61
2/22/2021,1777.58,2705.11
2/24/2021,1623.39,1542.32
2/26/2021,1444.59,1227.83
3/10/2021,1795.12,1795.12
3/16/2021,1805.12,1668.08
3/23/2021,1668.08,1804.58
3/27/2021,1712.63,1804.58
4/1/2021,1968.05,1668.08
4/11/2021,2151.36,1804.58
4/20/2021,2330.03,2532.6
4/26/2021,2532.6,2826.99
5/3/2021,3431.04,3945.88
5/5/2021,3524.26,3945.88
5/7/2021,3479.53,3923.95
5/9/2021,3923.95,3945.88
5/10/2021,3945.88,3945.88
5/21/2021,2430.98,2430.98
5/22/2021,2294.87,2705.11
5/25/2021,2705.11,2430.98
5/28/2021,2412.1,2705.11
6/2/2021,2706.22,3431.04
6/3/2021,2857.25,3431.04
6/16/2021,2367.89,2686.94
7/10/2021,2110.69,1804.58
7/20/2021,1786.03,1678.12
7/22/2021,2024.56,1968.05
7/28/2021,2300.9,2300.9
7/30/2021,2461.81,2461.81
8/5/2021,2826.99,3431.04
8/14/2021,3263.16,3765.89
8/19/2021,3184.12,3574.89
8/20/2021,3284.82,3790.82
8/22/2021,3238,3326.04
8/29/2021,3223.47,3326.04
8/31/2021,3429.2,3923.95
9/2/2021,3785.82,4603.35
9/3/2021,3938.11,4603.35
9/7/2021,3434.57,3945.88
9/8/2021,3499,3923.95
9/11/2021,3267.21,3326.04
9/13/2021,3285.35,3781.93
9/19/2021,3328.62,4094.83
9/21/2021,2765.9,3434.57
9/28/2021,2804.91,2988.06
10/3/2021,3417.73,4094.83
10/6/2021,3574.89,4347.59
10/10/2021,3414.22,4287.8
10/14/2021,3790.82,4474.24
10/17/2021,3846.85,4719
10/23/2021,4167.12,4732.33
10/28/2021,4286.02,4603.35
11/2/2021,4589.89,4732.33
11/3/2021,4603.35,4732.33
11/5/2021,4474.24,4732.33
11/9/2021,4732.33,4732.33
11/11/2021,4719,4732.33
11/17/2021,4287.8,4732.33
11/24/2021,4269.36,4732.33
11/28/2021,4294.78,4732.33
12/6/2021,4347.59,4603.35
12/7/2021,4306.4,4732.33
12/13/2021,3781.93,4732.33
12/16/2021,3958.11,4732.33
12/25/2021,4094.83,4732.33
1/3/2022,3765.89,4094.83
1/4/2022,3785.11,4094.83
1/5/2022,3540.63,4094.83
1/9/2022,3151.97,3326.04
1/14/2022,3307.42,3326.04
1/15/2022,3326.04,3326.04
1/29/2022,2601.43,2921
1/31/2022,2686.94,2921
2/1/2022,2787.23,2921
2/2/2022,2680.67,2921
2/12/2022,2918.88,2921
2/18/2022,2779.48,2921
2/21/2022,2568.02,2747.97
2/23/2022,2579.71,2921
2/28/2022,2920.95,2920.95
3/1/2022,2976.33,3285.35
3/7/2022,2491.12,2686.94
3/9/2022,2726.98,2787.23
3/11/2022,2556.86,2921
3/14/2022,2589.41,2921
3/17/2022,2811.92,2921
3/21/2022,2890.03,2921
3/28/2022,3332.92,3785.11
3/31/2022,3281.51,3765.89
4/3/2022,3521.91,4094.83
4/11/2022,2979.74,3479.53
4/13/2022,3118.28,3326.04
4/14/2022,3021.98,3326.04
4/17/2022,2988.06,3326.04
4/24/2022,2921,2921
4/27/2022,2888.96,2921
5/1/2022,2824.81,2921
5/3/2022,2781.7,2921
5/5/2022,2747.97,2979.74
5/6/2022,2692.85,2976.33
5/13/2022,2009.69,1813.33
5/14/2022,2056.48,1804.58
5/18/2022,1915.11,1804.58
5/29/2022,1813.64,1804.58
5/31/2022,1941.9,1915.11
6/4/2022,1804.58,1804.58
6/7/2022,1813.33,1777.58
6/12/2022,1434.84,1239.03
6/14/2022,1208.9,1208.9
6/26/2022,1197.79,736.42
6/30/2022,1071.01,475.4
7/2/2022,1067.01,405.86
7/8/2022,1214.04,774.56
7/11/2022,1096.4,774.56
7/16/2022,1355.85,1168.53
7/17/2022,1338.65,1071.01
7/18/2022,1581.04,1208.9
7/19/2022,1542.32,1379.5
7/22/2022,1535.27,1444.59
7/23/2022,1548.67,1197.79
7/26/2022,1449.12,1071.01
7/28/2022,1724.52,1581.04
7/29/2022,1721.68,1623.39
7/31/2022,1678.12,1712.63
8/1/2022,1630.28,1678.12
