Date,Real,Predicted
8/21/2020,0.4314,0.2906
8/29/2020,0.538,0.2906
9/1/2020,0.4808,0.2906
9/3/2020,0.3778,0.2906
9/6/2020,0.3325,0.2906
9/7/2020,0.3257,0.2906
9/9/2020,0.3167,0.2906
9/13/2020,0.3088,0.2906
9/21/2020,0.2884,0.2906
9/24/2020,0.3029,0.2906
9/25/2020,0.324,0.2906
10/1/2020,0.3174,0.2906
10/5/2020,0.3107,0.2906
10/7/2020,0.304,0.2906
10/9/2020,0.3183,0.2906
10/10/2020,0.3082,0.2906
10/16/2020,0.319,0.2906
10/17/2020,0.3178,0.2906
10/19/2020,0.3206,0.2906
10/20/2020,0.3094,0.2906
10/21/2020,0.3127,0.2906
10/25/2020,0.3081,0.2906
10/26/2020,0.3047,0.2906
10/28/2020,0.3089,0.2906
10/29/2020,0.3015,0.2906
11/3/2020,0.2906,0.2906
11/5/2020,0.2949,0.2906
11/10/2020,0.3086,0.2906
11/11/2020,0.3202,0.2906
11/13/2020,0.3193,0.2906
11/14/2020,0.3053,0.2906
11/17/2020,0.3123,0.2906
11/21/2020,0.3477,0.2906
11/24/2020,0.4131,0.2906
11/30/2020,0.3998,0.2906
12/3/2020,0.5027,0.2906
12/6/2020,0.5018,0.2906
12/7/2020,0.5078,0.2906
12/10/2020,0.4751,0.2906
12/15/2020,0.4796,0.2906
12/16/2020,0.5054,0.2906
12/17/2020,0.484,0.2906
12/18/2020,0.5326,0.2906
12/19/2020,0.5378,0.2906
12/20/2020,0.4888,0.2906
12/31/2020,0.654,0.2906
1/2/2021,0.6299,0.2906
1/7/2021,0.8572,0.2906
1/15/2021,0.792,0.2906
1/16/2021,0.7605,0.2906
1/27/2021,1.1204,0.2906
1/29/2021,1.4736,0.2906
2/9/2021,6.4663,0.2906
2/10/2021,6.0925,0.2906
2/17/2021,7.2723,0.2906
2/18/2021,6.6966,0.2906
2/22/2021,7.0715,0.2906
2/24/2021,6.6649,0.2906
2/26/2021,5.8955,0.2906
3/10/2021,11.1176,3.8277
3/23/2021,16.9419,15.85
3/27/2021,18.6553,16.545
4/1/2021,18.4204,16.545
4/11/2021,15.1147,11.1176
4/20/2021,13.4266,6.5295
4/23/2021,14.1,6.5295
4/25/2021,17.713,8.87
5/3/2021,17.244,16.168
5/5/2021,17.023,15.1147
5/7/2021,16.545,15.1147
5/10/2021,15.85,14.1
5/16/2021,16.168,8.87
6/2/2021,6.832,0.2906
6/10/2021,6.141,0.2906
6/16/2021,6.175,0.2906
6/21/2021,4.838,0.2906
6/22/2021,4.728,0.2906
6/23/2021,5.19,0.2906
6/27/2021,5.417,0.2906
6/29/2021,6.008,0.2906
7/1/2021,5.882,0.2906
7/5/2021,6.015,0.2906
7/18/2021,6.483,0.2906
7/20/2021,5.867,0.2906
7/22/2021,7.334,0.2906
8/2/2021,12.325,5.417
8/11/2021,16.956,15.1147
8/14/2021,17.388,15.1147
8/16/2021,21.904,21.904
8/18/2021,30.715,30.715
8/19/2021,29.43,40.16
8/20/2021,30.658,33.44
8/21/2021,27.529,27.53
8/24/2021,29.607,40.16
8/27/2021,32.64,29.607
8/29/2021,33.26,43.87
8/30/2021,33.44,37.76
9/3/2021,31.72,36.63
9/8/2021,29.46,27.53
9/13/2021,37.18,30.29
9/20/2021,27.53,37.18
9/21/2021,25.16,27.53
9/24/2021,40.16,30.29
10/1/2021,37.76,43.31
10/3/2021,42.79,50.12
10/9/2021,42.5,51.65
10/12/2021,37.59,43.24
10/14/2021,37.15,45.69
10/16/2021,36.63,42.5
10/17/2021,36.18,42.5
10/18/2021,35.83,42.5
10/21/2021,40.95,30.29
10/29/2021,45.69,51.65
10/30/2021,43.31,50.24
11/6/2021,51.17,61.66
11/7/2021,50.53,66
11/9/2021,50.24,66
11/11/2021,50.45,59.58
11/16/2021,43.24,30.29
11/27/2021,43.87,50.48
11/28/2021,50.11,59.58
12/7/2021,68.72,99.21
12/8/2021,75.1,99.21
12/15/2021,61.66,91.35
12/18/2021,74.23,91.35
12/22/2021,85.38,103.02
12/29/2021,84.12,103.02
12/30/2021,84.73,103.02
1/1/2022,91.69,103.02
1/5/2022,78.47,103.02
1/12/2022,81.88,99.21
1/13/2022,78.34,103.02
1/15/2022,87.19,103.02
1/24/2022,66,78.47
1/27/2022,54.15,66
1/28/2022,50.39,30.29
2/1/2022,52.18,66
2/2/2022,47.56,66
2/13/2022,51.65,66
2/19/2022,50.48,61.66
2/21/2022,50.12,59.58
2/23/2022,59.58,91.35
2/26/2022,78.13,97.18
2/28/2022,91.35,99.21
3/1/2022,89.7,103.02
3/9/2022,99.21,103.02
3/11/2022,88.42,103.02
3/14/2022,94.87,103.02
3/20/2022,90.62,103.02
3/21/2022,95.76,103.02
3/25/2022,90.39,103.02
3/28/2022,97.18,103.02
3/31/2022,103.02,103.02
4/14/2022,81.57,103.02
4/16/2022,80.96,103.02
4/17/2022,77.19,103.02
4/19/2022,95.46,103.02
4/27/2022,89.03,103.02
5/9/2022,30.29,30.29
5/31/2022,8.87,8.87
6/1/2022,6.5295,0.2906
6/7/2022,3.8277,0.2906
6/18/2022,1.865,0.2906
6/25/2022,1.9917,0.2906
6/26/2022,2.0137,0.2906
6/29/2022,2.622,0.2906
6/30/2022,2.1288,0.2906
7/8/2022,2.2757,0.2906
7/11/2022,1.887,0.2906
7/18/2022,2.0365,0.2906
7/26/2022,1.7147,0.2906
7/29/2022,1.9171,0.2906
7/31/2022,1.88,0.2906
8/1/2022,2.2735,0.2906
