Date,Real,Predicted
8/21/2020,2.9317,2.2053
8/29/2020,3.9535,2.2053
9/1/2020,4.3397,2.2053
9/3/2020,3.5051,44.98
9/6/2020,3.0941,44.98
9/7/2020,2.9237,44.98
9/9/2020,3.6001,3.4247
9/13/2020,3.2603,44.98
9/21/2020,2.7672,44.98
9/24/2020,3.1433,44.98
9/25/2020,3.1937,44.98
10/1/2020,2.8669,2.2053
10/5/2020,2.6522,2.2053
10/7/2020,2.3005,44.98
10/9/2020,2.5314,2.2053
10/10/2020,2.3999,2.2053
10/16/2020,2.1398,2.2053
10/17/2020,2.2053,2.2053
10/19/2020,2.0592,2.2053
10/20/2020,1.885,2.2053
10/21/2020,1.8887,44.98
10/25/2020,1.7926,2.2053
10/26/2020,1.6799,44.98
10/28/2020,1.518,44.98
10/29/2020,1.4327,2.2053
11/3/2020,1.4118,2.2053
11/5/2020,1.4007,2.2053
11/10/2020,2.2661,44.98
11/11/2020,2,2.2053
11/13/2020,2.0141,2.2053
11/14/2020,1.9182,2.2053
11/17/2020,2.1998,44.98
11/21/2020,2.3822,44.98
11/30/2020,1.9665,2.2053
12/3/2020,2.0967,44.98
12/6/2020,1.8505,2.2053
12/7/2020,1.8272,2.2053
12/10/2020,1.5683,2.2053
12/16/2020,1.7829,44.98
12/17/2020,1.68,44.98
12/18/2020,1.7014,2.2053
12/19/2020,1.6707,2.2053
12/20/2020,1.5635,2.2053
12/31/2020,1.5073,44.98
1/2/2021,1.7999,3.6001
1/7/2021,2.3635,2.3635
1/15/2021,3.2475,44.98
1/16/2021,3.4247,3.4247
1/22/2021,3.3352,3.4247
1/27/2021,3.675,44.98
1/29/2021,3.8293,44.98
2/9/2021,7.8005,44.98
2/10/2021,9.09,44.98
2/17/2021,8.2357,44.98
2/18/2021,8.9771,44.98
2/22/2021,14.4191,14.4191
2/24/2021,17.1691,14.4191
2/26/2021,13.5962,3.4247
3/10/2021,14.2048,44.98
3/16/2021,13.6392,44.98
3/23/2021,14.1552,44.98
3/27/2021,16.4589,44.98
4/1/2021,19.0443,44.98
4/11/2021,27.8517,44.98
4/20/2021,31.7028,3.4247
4/26/2021,43.878,38.925
5/3/2021,45.912,44.98
5/5/2021,44.98,44.98
5/7/2021,43.182,44.98
5/9/2021,44.33,44.98
5/10/2021,42.854,44.98
5/21/2021,38.925,14.4191
5/22/2021,31.222,14.4191
5/25/2021,29.973,14.4191
5/28/2021,28.989,44.98
6/2/2021,33.994,44.98
6/3/2021,39.602,17.1691
6/16/2021,39.728,44.98
7/10/2021,31.693,44.98
7/20/2021,23.474,44.98
7/22/2021,27.699,44.98
7/28/2021,27.875,44.98
7/30/2021,32.354,44.98
8/5/2021,37.353,44.98
8/14/2021,44.14,44.98
8/19/2021,72.764,72.764
8/20/2021,78.643,44.98
8/22/2021,72.775,44.98
8/29/2021,94.23,44.98
8/31/2021,108.27,108.27
9/2/2021,128.23,146.4
9/3/2021,146.4,191.02
9/7/2021,173.46,173.46
9/8/2021,191.02,191.02
9/11/2021,179.04,243.37
9/13/2021,169.53,169.53
9/19/2021,152.76,243.37
9/21/2021,124.29,146.4
9/28/2021,132.2,153.87
10/3/2021,172.98,243.37
10/6/2021,153.87,179.04
10/10/2021,147.55,193.1
10/14/2021,150.02,193.1
10/17/2021,160.12,197.75
10/23/2021,197.75,239.04
10/28/2021,195.42,243.37
11/2/2021,220.82,239.04
11/3/2021,243.37,243.37
11/5/2021,236.06,239.04
11/9/2021,239.04,239.04
11/11/2021,233.37,239.04
11/17/2021,218.94,239.04
11/24/2021,205.7,239.04
11/28/2021,200.69,233.37
12/6/2021,193.56,236.06
12/7/2021,190.19,233.37
12/13/2021,155.21,205.7
12/16/2021,176.86,233.37
12/25/2021,193.1,233.37
1/3/2022,170.15,193.1
1/4/2022,167.72,193.1
1/5/2022,154.52,193.1
1/9/2022,140.82,167.72
1/14/2022,146.17,170.15
1/15/2022,147.64,170.15
1/29/2022,96.13,44.98
1/31/2022,99.49,44.98
2/1/2022,110.02,44.98
2/2/2022,101.88,122.77
2/12/2022,95.96,99.23
2/18/2022,89.86,99.23
2/21/2022,82.96,44.98
2/23/2022,84.59,44.98
2/28/2022,99.68,44.98
3/1/2022,98.66,44.98
3/7/2022,81.66,44.98
3/9/2022,88.06,44.98
3/11/2022,80.67,44.98
3/14/2022,81.22,44.98
3/17/2022,87.8,44.98
3/21/2022,88.59,44.98
3/28/2022,105.75,44.98
3/31/2022,122.77,179.04
4/3/2022,136.9,155.21
4/11/2022,99.67,44.98
4/13/2022,104.94,147.64
4/14/2022,100.77,44.98
4/17/2022,100.15,147.64
4/24/2022,99.23,99.23
4/27/2022,98.36,99.23
5/1/2022,89.68,44.98
5/3/2022,85.86,99.23
5/5/2022,84.52,44.98
5/6/2022,81.68,44.98
5/13/2022,48.92,43.878
5/14/2022,52.43,44.98
5/18/2022,49.93,44.98
5/29/2022,44.98,44.98
5/31/2022,45.77,44.98
6/4/2022,39,44.98
6/7/2022,39.31,29.973
6/12/2022,30.61,3.4247
6/14/2022,29.59,14.4191
6/26/2022,39.39,44.98
6/30/2022,33.76,44.98
7/2/2022,33.36,44.98
7/8/2022,38.12,44.98
7/11/2022,33.42,44.98
7/16/2022,39.58,44.98
7/17/2022,38.62,44.98
7/18/2022,43.52,44.98
7/19/2022,44.87,29.973
7/22/2022,40.54,44.98
7/23/2022,39.97,44.98
7/26/2022,36.25,44.98
7/28/2022,42.91,44.98
7/29/2022,41.91,44.98
7/31/2022,42.35,44.98
8/1/2022,41.65,44.98
