Date,bnb_headlines,News_sent
8/2/2022,"['BUSD reserves consist of 60.5% US Treasury bills, 4.21% cash', 'Bitcoin traders pinpoint key levels to watch as BTC price tests key trendlines', 'Tether supply starts to increase after three-month decline', 'BUSD reserves consist of 60.5% US Treasury bills, 4.21% cash', 'Binance.US to delist Flexa’s AMP after SEC security classification', 'Tether Supply Sees Growth After Months-Long Decline']",-0.016666667
8/1/2022,"['Binance US will delist AMP following SEC claim token is a security', 'Binance Delists Token After SEC Calls It a Security', 'BTC, ETH Trade Healthy Despite Volatility, Crypto Market Cap Stays Over Trillion Dollar', 'SEC Charges 11 in Alleged $300M Crypto Pyramid Scheme Forsage']",0.0625
7/31/2022,"['Binance CEO Explains Why Stablecoin Dominance Is Bullish for Crypto', 'XRP & Cardano (ADA) Need This To Hold On to Conquered Places in Market Cap Top']",0.25
7/30/2022,"['Binance’s CZ: High Inflation And Recession Fears Will Drive Bitcoin Adoption', 'Frax Finance Founder Says Stablecoins Need Collaboration To Grow Instead Of Competition', 'USDT vs USDC: A Look at the Leading Stablecoins']",0.053333333
7/29/2022,['Ampleforth Governance Token FORTH Jumps 229% Ahead Of Algorithmic Stablecoin SPOT Launch'],0
7/28/2022,"[""Bitcoin price battles $23K as data says US in 'technical recession'"", 'BTC, ETH Add More Gains to Heightened Values, Most Cryptocurrencies Rally', '$1.26B in Ethereum options expire on Friday and bulls are ready to push ETH price higher', 'Naira now has a third “crypto exchange rate” as Nigerians rely heavily on crypto', 'Lawsuits Mount Against Terra: FatManTerra Launches Class Action Lawsuit']",0.145
7/27/2022,"['Coinbase: Buy The Dip', '25 HIGH PAYING Investing Affiliate Programs To Boost Your Earnings', '8 Best altcoins to watch and buy in 2022', 'Best Bitcoin Gambling Sites for 2022 Ranked by BTC Gambling Game Variety, Bonuses, and Reputation']",0.365
7/26/2022,"['Bitcoin price struggles to defend $21K as Coinbase faces new SEC wrath', 'Binance CEO Sues Bloomberg Subsidiary For Publishing Defamatory Article', 'Arcane Research: Stablecoins Supply Drops Almost 19% In Q2 2022', 'BTC, ETH Retain Pumped Prices Despite Minor Dips as Crypto Chart Reflects More Reds than Greens', 'Alternative Media Attacks Bitcoin: A Response To “Bitcoin Cannot Free Palestine”']",0.128636364
7/25/2022,"['Stablecoin projects need collaboration, not competition: Frax founder', 'Dogecoin Copycat Ends Up Being ""Rug Pull""', 'Teddy Doge developers pull out $4.5 million in alleged ‘soft rug pull’', ""Binance's Changpeng Zhao Labels Tesla's Bulk Bitcoin Sell-Off a 'Drop in the Ocean'""]",0
7/24/2022,"['Bitcoin must close above $21.9K to avoid fresh BTC price crash — trader', ""Cardano's 25% Price Surge in One Week Mercilessly Liquidated ADA Bears""]",-0.275
7/23/2022,"['Trading Crypto and Forex with JavaScript', 'Withdrawal Suspended Due to Risk Management: What Does It Mean?', '150 Billion SHIB Bought by Shiba Investor as Token Holds as Whales’ Biggest Asset in USD', 'XRP Remains Ahead of Other Altcoins, Reaching Big Milestones This Week: Santiment']",-0.0703125
7/22/2022,"['Three Reasons Behind The Remarkable Growth Of Cryptocurrency Use In Africa Despite Regulatory Uncertainty', 'Bitcoin wobbles on Wall Street open as Ethereum hits $1.6K in 6-week high', 'Avalanche Sustains 7-Day Upswing – Can AVAX Easily Breach $26?', 'Monero Climbs To 5-Week Peak, Nears Key Resistance At $155', 'Bitcoin Prices Hover Around $23,500, Majority Altcoins Swell Up With Profits', 'Ether Dominance Rises as Altcoins Outperform Bitcoin', 'How airdrops and NFTs are revolutionising the hunt for crypto fraudsters']",0.098333333
7/21/2022,"['BTC price battles 200-week moving average after $930M Tesla Bitcoin sale', 'Binance CEO: Avoid Crypto Exchanges That Need Funding To Survive', 'Bitcoin bulls miss key resistance flip as BTC price sheds 8%', 'Global Cryptocurrency Exchange-Platforms Market Projected to Hit $674.9 Million by 2028 Growing at 12.7% CAGR - Report by Vantage Market Research', 'Polkadot (DOT) Gathers Steam, Sets Sight On $8.07 Resistance Level', 'XRP Trading Volume Hits Frenetic Levels As Ripple Continues To Gain Upper Hand In SEC Lawsuit']",-0.033333333
