Date,bit_headlines,News_sent
8/2/2022,"['Crypto weekly: Bitcoin breaks freefall - Reuters', ""Cryptoverse: Bitcoin beats the heat in a jumpin' July - Reuters"", 'Man who threw away £150m in bitcoin hopes AI and robot dogs will get it back', 'Yen recovery continues on lower U.S. yields; markets on edge over Pelosi - Reuters.com', ""US stocks fall as investors assess US-China tensions ahead of Nancy Pelosi's trip to Taiwan"", 'The Crypto Market Crashed. They’re Still Buying Bitcoin.', 'Nomad drained of $150m due to a coding mistake', ""Fungible: What the 'F' in NFT stands for and why it matters"", 'The SEC Probably Thinks This Is A Security (Podcast)', '3 Cryptos That Could Beat Bitcoin']",-0.0225
8/1/2022,"[""The total value of the crypto market has surged in recent weeks as bears start to buy back in and bulls 'hold on for dear life'"", 'Jules Miller: How 150 VCs created the VC3 DAO for decentralized investing', ""The Beginner's Guide to Investing in Cryptocurrencies"", 'US stocks slip as investors struggle to keep momentum following best month for the market since 2020', 'US stocks slide after strong showing in July as investors assess path of Fed policy', 'What Happens When Cops Seize Crypto and Bitcoin (Podcast)', 'What Happens When Cops Seize Crypto and Bitcoin?', ""A publicly traded bitcoin whale's glaring (paper) loss"", 'As Bear Market Persists, Public Miners Struggle To Outperform Bitcoin Price', 'Bitcoin Songsheet: Fiat Politics Suck']",0.093333333
7/31/2022,"['How Walmart is trying to solve its excessive-inventory issues', 'The 7 Best Cryptos to Buy and Hold For Later', ""'Wen Flippening?' Crypto Fans Wager on Ether Surpassing Bitcoin"", ""Why Bitcoin Is the First Thing I'm Buying If We Enter a Recession"", 'Bitcoin Can Finance Growth In The Cannabis Industry', 'First Mover Asia: BTC Dips Below $23.5K; The Crypto Bear Market Will Test Thailand’s SEC', 'Bitcoin Education Is A Way Out Of Globalist Oppression For Ethiopia', '‘Wen Flippening?’ Crypto Fans Wager on Ether Surpassing Bitcoin - HT Tech', 'Philosophically, It Doesn’t Matter Whether Cryptos Are Securities; Practically, It Does', 'Tesla Reveals Its Q2 Capital Expenditures & Expectations Moving Forward']",0.0825
7/30/2022,"['Bitcoin rises 3.4% to $24584; up 39.7% from year low in June - Reuters', '3 ways Black investors can bounce back from crypto losses and build wealth, according to a couple who retired in their 40s', 'Bitcoin: Buy the Dip?', 'The Mullvad VPN No logging of user activity policy', 'Buying Bitcoin on the Dip? 3 Things the Smartest Investors Know About Crypto', ""5 Ways 'Ready Player One' Actually Predicted Our Times"", 'Upgrade Still ‘Not Priced In’—Ethereum Cofounder Issues Shock Price Prediction Amid Huge Bitcoin, BNB, XRP, Solana, Cardano And Dogecoin Rally', 'The SEC Is Quietly Cracking Down On Crypto As Price Of Bitcoin, Ethereum, BNB, XRP, Solana, Cardano, Luna, Shiba Inu, And Dogecoin Recover', 'Bitcoin Can Finance Growth In The Cannabis Industry', 'Bitcoin Helps Us Overcome Probability-Based Energy Systems']",0.033148148
7/29/2022,"[""Honduras launches 'Bitcoin Valley' in the tourist town of Santa Lucia - Reuters.com"", 'How to invest in blockchain, the high-risk but high-potential technology behind bitcoin and other digital transactions', 'Babel Finance Lost Over $280 Million in Proprietary Trading With Customer Funds', 'Web3: The hope for protocols over platforms', 'US stocks trade mixed as traders weigh strong mega-cap tech earnings against worrisome new inflation data', 'Dollar wallows near 6-week low to yen on view Fed to slow hikes - Reuters', 'Wealthsimple review: Minimum-free stocks, ETFs, and crypto for Canadian investors', 'Tesla Sold Its Bitcoin, Should You?', 'Metals Stocks: Gold, silver rally again in wake of slide in dollar and bond yields', 'BreachForums booms on the back of billion-record Chinese data leak']",-0.005176768
7/28/2022,"['El Salvador still has plans for a bitcoin bond even as the country sees a 50% loss on its crypto investment', 'Factbox: The crypto crash hit these companies the hardest - Reuters', 'Dow soars 332 points after early losses as traders digest a 2nd straight negative GDP print', 'US stocks edge up even as a 2nd straight GDP contraction stokes recession worries', ""Dollar near 3-week low as Fed's Powell less hawkish than feared - Reuters"", ""Top lawyer to exit Winkelvoss twins' crypto exchange Gemini - Reuters"", 'Bitcoin Weekly Trend Shaky Amidst Uncertainty', ""'Neopets' Hacker Holds 69 Million Accounts Ransom For Bitcoin"", 'Global stocks rally as investors scent a Fed shift on tightening, but US futures sag after Meta earnings miss', 'US senator grills Apple & Google about fraudulent crypto apps']",0.024444444
7/27/2022,"['Bitcoin rises 6.9% to $22717 - Reuters', 'El Salvador aims to avoid default with $1.6 billion bond buyback as the nation caps off its first year with bitcoin as official currency', 'El Salvador says it has $560 mln for partial debt buyback - Reuters', 'US stocks surge as investors digest mega-cap tech earnings and prepare for another Fed rate hike', 'El Salvador to buy back some debt in surprise move - Reuters', ""Nasdaq soars 4% on combination of mega-cap tech earnings and Fed's 75-basis-point rate hike comments"", 'Crypto Crackdown: SEC and Treasury Reportedly Investigate Exchanges - CNET', 'A round-up of cards that earn cryptocurrency rewards', 'The Democratic Nature of DeFi (Podcast)', 'Why Ethereum, Coinbase, and Bitcoin Popped Today']",0.005
7/26/2022,"['Crypto Weekly: Tesla sells its stash - Reuters.com', 'Bitcoin Dumpster Guy Has a Wild Plan To Rescue Millions In Crypto From a Landfill', 'Bipartisan Bill Seeks To Eliminate Taxes on Crypto Transactions Under $50', 'Cryptoverse: What crisis? Venture capitalists bet big on crypto - Reuters', 'Cryptoverse: What crisis? Venture capitalists bet big on crypto - Reuters.com', 'Are We Headed for a Crypto Winter Recession?', 'Veteran investor Jim Rogers predicts the worst bear market of his life, a brutal recession, and limited success for bitcoin. Here are his 10 best quotes from a new interview', ""US stocks fall as Walmart's profit warning adds to inflation worries"", 'Stocks wobble on Walmart warning, looming Fed hike - Reuters', 'What is a crypto wallet? Understanding the software that allows you to store and transfer crypto securely']",0.042713358
7/25/2022,"['Bitcoin Dumpster Guy Has a Wild Plan to Rescue Millions in Bitcoin From a Landfill', 'Tesla still has $222 million in digital assets on its balance sheet after dumping most of its bitcoin', ""Brazil's XP Inc to open crypto platform to clients in August - Reuters.com"", 'Ethereum Merge Explained: Why It Matters For Everyone - CNET', 'Chipotle courts the gullible with a crypto game', 'A man who lost $176 million worth of bitcoin in a dump wants to use a pair of $75,000 robot dogs in his master plan to get it back', 'China vows privacy, information protection in using digital yuan - Reuters', 'Mexican crypto exchange Bitso reaches more than 1 mln users in Brazil - Reuters', 'US stocks dip as investors look ahead to a busy week of earnings, Fed tightening, and GDP data', 'President Joe Biden’s Zoom setup starts with a $7,000 rollable touchscreen']",0.046666667
7/24/2022,"['The quest to find $181 million in bitcoin buried in a dump', 'Does the engineering world need to care about NFTs and blockchain?', 'Battered Bitcoin Devotees Begin to Contemplate a Market Bottom', '3 Cryptos to Avoid No Matter What', 'Why Ethereum Is a Better Long-Term Buy Than Bitcoin', 'Bitcoin Is Knocking On 10 Downing Street', '3 Cryptos That Are Critical to Watch in the Back Half of 2022', ""They Thought 'Crypto Banks' Were Safe. Then Came Crash..."", 'Now That Bitcoin Is Considered Property In The UK, Reclaiming Ransomed Assets Sent To Exchanges Is Much Easier', '‘All Bets Are Off’—Crypto Now Braced For A $8.9 Trillion Earthquake As The Price Of Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Swing']",0.114444444
7/23/2022,"['The Relationship between Bitcoin and Inflation', 'Black investors say crypto is still key to building wealth even as digital assets see steep sell-off in 2022', 'Trading Crypto and Forex with JavaScript', 'Better Bitcoin Stock: Block vs. Coinbase Global', '‘It’s Definitely Going To Happen’—Prince Makes Shock Crypto Prediction Amid Bitcoin And Ethereum Price Rebound', 'The Mistake That Cost This Photographer $100,000', 'Chasing Bitcoin: Why North Korea Ransomware Attacks Target U.S. Health Care Providers', 'A Newcomer’s Perspective On Toxic Bitcoin Maximalism', 'Using Bitcoin To Establish VPN Connections Without Trusted Third Parties', 'FBI seized $500,000 worth of bitcoin obtained from Maui ransomware attacks']",0.049444444
