Date,ada_headlines,ada_avg
8/2/2022,"['Sygnum Bank Expands Staking to Cardano', 'Crypto Exchange Zipmex to Allow Users to Withdraw Some Tokens', 'Sygnum Bank Expands Staking to Cardano', 'Crypto Exchange Zipmex to Allow Users to Withdraw Some Tokens', 'Swiss Sygnum Bank expands crypto staking with Cardano', 'Celebrity NFTs That Are Actually Good', 'Bitcoin Down for Third Day as Caution Washes Over Global Markets', 'Market Wrap: Bitcoin Wavers in Narrow Range as Cryptos Trade Weaker', 'WEMADE Signs MoU With Blockdaemon To Support The Growth And Development Of WEMIX 3.0 Ecosystem', 'Zipmex gradually resuming Z Wallet withdrawals, says debt moratorium is not bankruptcy']",0.044814815
8/1/2022,"[""The Beginner's Guide to Investing in Cryptocurrencies"", '‘Others Could Fail’—IMF Issues Stark Crypto Warning After Terra Luna-Led Crash Wiped $2 Trillion From Bitcoin, Ethereum And Crypto Market Price', ""Key things you didn't know about phishing"", 'July Marks Strongest Month of Crypto Fund Inflows This Year: CoinShares', 'ADA Up 22% In Last 7 Days; Remains On Track To Test $0.6 Barrier', 'How Cardano’s Charles Hoskinson Helps the Crypto Community', 'WEMADE Signs MoU With Blockdaemon To Support The Growth And Development Of WEMIX 3.0 Ecosystem', ""Cardano's EVM Sidechain Records 7.5 Million Transactions After Launch"", 'Bitwise Announces Results of July 2022 Month-End Crypto Index Reconstitution', 'Ledger Adds Support for 100 More Cardano ($ADA) Native Tokens']",0.015
7/31/2022,"['The 7 Best Cryptos to Buy and Hold For Later', ""'Sell Now'—Reality Bites For Dogecoin As Expert Panel Says Joke Cryptocurrency Is Heading To Zero, Cuts Price Forecast For BNB, Solano & Cardano"", 'Cardano Rises 5% In One Day Despite Vasil Hard Fork Delay', 'Cardano Community Gives One Reason for Its ""Standalone"" in Larger Crypto Space', 'Cardano Founder: ""Beautiful Things Take Time To Build""; Here\'s What Community Says', ""Here's Why Cardano DEXes Are Already on Next Level Compared to Ethereum"", 'Cardano’s Vasil Hard Fork Delayed for Several More Weeks As ADA Sees Green Week', 'Cardano Outpacing Crypto Majors As ADA Reigns As The Most Developed Cryptocurrency', 'XRP & Cardano (ADA) Need This To Hold On to Conquered Places in Market Cap Top', 'WisdomTree Average Crypto Assets Drop 12% In One Year']",0.171041667
7/30/2022,"['The SEC Is Quietly Cracking Down On Crypto As Price Of Bitcoin, Ethereum, BNB, XRP, Solana, Cardano, Luna, Shiba Inu, And Dogecoin Recover', 'Upgrade Still ‘Not Priced In’—Ethereum Cofounder Issues Shock Price Prediction Amid Huge Bitcoin, BNB, XRP, Solana, Cardano And Dogecoin Rally', 'Cardano Pulls Up 5% In 24 Hours, Unfazed By Vasil Hard Fork Delay', 'Ledger Expanded Support For 100 Cardano Native Tokens', 'Cardano Is Now Compatible With This Platform Used in 2500 Games: Details', 'Immunify.Life Poised to Transform Global Healthcare with Real-World Blockchain Use Cases', '$ADA: SundaeSwap Team’s View of Cardano’s Upcoming Vasil Hard Fork', 'Cardano Jostles With XRP As ADA Gathers Pace Even As Vasil Upgrade Is Delayed Again', 'What Cardano needs to sway beyond constraints of $0.5-level', 'Is ADA making an effort to take over XRP’s position amid rising market cap']",-0.026851852
7/29/2022,"['Wealthsimple review: Minimum-free stocks, ETFs, and crypto for Canadian investors', ""Cardano's Vasil Upgrade Is Delayed Again for More Testing"", 'Recession Fears Prime Bitcoin And Crypto For A ‘Sharp’ Fed U-Turn As The Price Of Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Roar Back', 'Cardano Vasil hard fork hit with another delay for several weeks', 'First Mover Americas: Bitcoin Heads for Best Month Since October as PCE Inflation Surprises', 'Cardano Investors Unmoved By Market Rally As Price Predictions Remain Conservative', 'Cardano climbs 5% in 24 hours despite Vasil hard fork delay setback', '100 More Cardano Tokens Now Supported by Ledger Live', 'First Mover Americas: Bitcoin Heads for Best Month Since October as PCE Inflation Surprises', '$ADA: Why Cardano Is ‘Uniquely Positioned to Withstand a Climate Emergency’']",0.194318182
7/28/2022,"['‘Massive Liquidations’—Big Money Is Dumping Crypto As Price Of Bitcoin, Ethereum, BNB, XRP, Solana, Cardano, Luna, Shiba Inu, And Dogecoin Recover', 'Why Ethereum Looks Better Than Ever', 'This Crypto Market Phantom Could Be Poised for a Major Breakout', 'Cardano Foundation Welcomes New Joiner', ""Will Cardano Be Listed on Robinhood? Here's What Community Thinks"", 'Cardano, Dogecoin, Shiba Inu Post Gains Amid Inflows into Crypto Market', 'Cardano Could Breakout In A New Bull Run To $1: Analysis', 'Cardano ($ADA) Trading Volume Drops to 6-Month Low as Social Media Popularity Dwindles', 'ETC Group’s Bitcoin ETP to List on Cboe Europe', 'Bitcoin IRA Named Mobile App of the Year Winner for 2022 by Globee American Best in Business Award']",0.135189394
7/27/2022,"['Why Cardano (ADA) May Breakout In A Bull Run To $1', 'Cardano (ADA) Falls To $0.44, Is The Uptrend Invalidated?', 'Cardano Moves In The Red With The Market, Can The Price Of ADA Stay Above $0.46?', 'Cardano ($ADA) Powered Metaverse ‘Pavia’ Announces Details About Upcoming Updates', 'Here Is How Cardano-Based New Digital Economy Is Developing: Details', 'Cardano long-term investors can wait to buy strength here', 'Cardano Losing Luster on Twitter Despite Looming Vasil Hard Fork', 'Cardano ($ADA) Enters BNB Whales’ Top 10 Holdings Ahead of Vasil Hard Fork', 'Can Cardano hit $1 by the end of August? Here’s what the crypto community says', '$ADA: Bitrue to Support Cardano’s Decentralization Through Community Stake Pools Contributions']",-0.011931818
7/26/2022,"['Why Cardano May Be the Safest Cryptocurrency to Hold During a Climate Emergency', 'Valour Inc. Lists Its Exchange Traded Products on the Lang and Schwarz Exchange', 'Cardano Joins The Red Screen – How ADA Fell To $0.45 Over Last 24 Hours', ""Cardano Network Expands Further with Djed Becoming Official Stablecoin of IOHK's RealFi Start-Up"", 'Cardano (ADA) Can Now Be Traded Against Bitcoin (BTC) on Major Crypto Exchange', 'Cardano Celebrates More Than 1,000 Actively Developed Projects on Network', 'Cardano ($ADA) ‘Reigns As the Most Developed Asset in Crypto’, Says Santiment', 'Cardano Founder Expounds Utility of Blockchain to Bitcoin Maximalist Max Keiser', 'XRP, Cardano (ADA) and Shiba Inu (SHIB) in Red as Bitcoin Dips to $20,000', 'Top 3 altcoins to buy as Bitcoin whales buy the dip']",0.13875
7/25/2022,"['Cardano (ADA) Spikes 8%, Overtakes XRP In Last 24 Hours', 'Cardano Hits New Milestone in Smart Contracts Creation: Details', 'Decentralized Exchanges to Look Out For On Cardano [2022]', 'Cardano (ADA) Showing ‘Surge Signs’ As Vital Metric Flashes Green: Analytics Firm Santiment', 'Mountain Commerce Bancorp Non-GAAP EPS of $0.95, revenue of $12.34M', 'Bitcoin Bulls Try To Recoup As BTC Dislodged From $22,000 Level', 'Crypto Price Today: Dogecoin, Avalanche, Cardano, Polkadot shed up to 5%', 'Cardano forms a double top – Are we likely to see a price decline?', 'IOG Shares Vasil Hard Fork Progress, Anthony Scaramucci Admits His BTC Mistake, Cardano Hits New Uptime Milestone: Crypto News Digest by U.Today', 'Cardano ($ADA): Price Action, Listing on xINVESTOR, Reliability, Adoption, Michael Saylor’s Head']",0.026433983
7/24/2022,"['‘All Bets Are Off’—Crypto Now Braced For A $8.9 Trillion Earthquake As The Price Of Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Swing', 'Bitcoin must close above $21.9K to avoid fresh BTC price crash — trader', ""Cardano's 25% Price Surge in One Week Mercilessly Liquidated ADA Bears"", 'Cardano (ADA) Spikes 8%, Surpassing XRP', 'Cardano Reaches New Milestone: 1760 Days Without Outages', 'Cardano Surges 5% While Ethereum Tapped $1600: Analysis', 'Cardano traders can expect this firework in coming week', 'Polygon (MATIC) Looks Set For A Retracement After Recent Gains', '$ADA: Founder of ‘Perfect People CNFT’ Community Explains Cardano’s Vasil Upgrade', 'Decentraland Jumps 15% In 3 Days – Who’s Buying MANA?']",0.058636364
