Date,Open,High,Low,Close,Volume,Market Cap
8/21/2020,0.1342,0.13436,0.1214,0.12315,325572514.7,325572514.7
8/22/2020,0.12314,0.12618,0.1182,0.12515,239238199.5,239238199.5
8/23/2020,0.12516,0.1259,0.11929,0.12141,176404681.9,176404681.9
8/24/2020,0.12146,0.12707,0.12,0.12361,192049653.6,192049653.6
8/25/2020,0.12359,0.12395,0.10485,0.11239,538469253,538469253
8/26/2020,0.11239,0.11819,0.11019,0.11435,291146015.7,291146015.7
8/27/2020,0.11431,0.11583,0.10211,0.10725,397313718.2,397313718.2
8/28/2020,0.10726,0.11166,0.10602,0.10927,254837464.6,254837464.6
8/29/2020,0.10926,0.11796,0.10799,0.11623,219865981.9,219865981.9
8/30/2020,0.11624,0.11879,0.11369,0.11747,208755018,208755018
8/31/2020,0.11742,0.1268,0.11296,0.12253,459272450.5,459272450.5
9/1/2020,0.1225,0.12812,0.11896,0.12445,330906806.9,330906806.9
9/2/2020,0.12444,0.12642,0.11031,0.11489,399997912.3,399997912.3
9/3/2020,0.1149,0.11693,0.09222,0.09446,621880720.2,621880720.2
9/4/2020,0.09448,0.10399,0.09215,0.10156,764723646.7,764723646.7
9/5/2020,0.1016,0.10398,0.0854,0.09,648238071.4,648238071.4
9/6/2020,0.08998,0.09614,0.0855,0.0926,391668905.2,391668905.2
9/7/2020,0.09266,0.09421,0.08603,0.0936,382261960.2,382261960.2
9/8/2020,0.09365,0.09699,0.08845,0.09101,413411592.3,413411592.3
9/9/2020,0.09105,0.09575,0.08925,0.09331,239528985.2,239528985.2
9/10/2020,0.09329,0.0995,0.09318,0.09709,318516552.9,318516552.9
9/11/2020,0.09704,0.09755,0.09308,0.09701,221511294,221511294
9/12/2020,0.09696,0.0985,0.09446,0.09771,171314687.5,171314687.5
9/13/2020,0.09769,0.09981,0.09234,0.09507,241551462.9,241551462.9
9/14/2020,0.09509,0.09787,0.09293,0.09663,222916155.5,222916155.5
9/15/2020,0.09659,0.09804,0.09286,0.09313,228893108.7,228893108.7
9/16/2020,0.09309,0.09334,0.08951,0.09151,274183427.8,274183427.8
9/17/2020,0.09151,0.09475,0.09075,0.09408,233366881.9,233366881.9
9/18/2020,0.09405,0.09415,0.08963,0.09093,216397448.7,216397448.7
9/19/2020,0.09092,0.09325,0.09044,0.09141,146210080.5,146210080.5
9/20/2020,0.09139,0.09223,0.08751,0.08936,178387120.7,178387120.7
9/21/2020,0.08936,0.09017,0.077,0.07983,492053125.1,492053125.1
9/22/2020,0.07989,0.08335,0.07906,0.08146,312840807.6,312840807.6
9/23/2020,0.08148,0.0828,0.07545,0.07663,288788652.5,288788652.5
9/24/2020,0.07663,0.08376,0.07549,0.08254,416112902.6,416112902.6
9/25/2020,0.08254,0.09867,0.08233,0.09693,761770099.4,761770099.4
9/26/2020,0.09691,0.09997,0.09226,0.09547,350666632.3,350666632.3
9/27/2020,0.09541,0.10273,0.09419,0.1013,425402605.4,425402605.4
9/28/2020,0.10132,0.10671,0.09957,0.1003,444510434.1,444510434.1
9/29/2020,0.10026,0.1036,0.09735,0.1011,324750297.3,324750297.3
9/30/2020,0.1011,0.10175,0.09662,0.10136,284886992.4,284886992.4
10/1/2020,0.10136,0.10465,0.09458,0.09804,336851341.1,336851341.1
10/2/2020,0.09803,0.1004,0.08967,0.09286,399944267.6,399944267.6
10/3/2020,0.09285,0.09532,0.09208,0.09328,157830982.1,157830982.1
10/4/2020,0.09332,0.09804,0.09205,0.09686,171939943.5,171939943.5
10/5/2020,0.09684,0.09948,0.09585,0.09738,181150337.1,181150337.1
10/6/2020,0.0974,0.09864,0.09122,0.09289,279075645.9,279075645.9
10/7/2020,0.09287,0.09449,0.08934,0.09374,156895883.2,156895883.2
10/8/2020,0.09372,0.09731,0.08975,0.09632,252697885.8,252697885.8
10/9/2020,0.09632,0.10255,0.09485,0.10129,310310117.3,310310117.3
10/10/2020,0.10133,0.11151,0.10133,0.10493,507111063.7,507111063.7
10/11/2020,0.10488,0.10899,0.10415,0.10648,313077154.2,313077154.2
10/12/2020,0.10652,0.11369,0.10216,0.10945,436930732,436930732
10/13/2020,0.10951,0.11428,0.10751,0.10925,399840888.7,399840888.7
10/14/2020,0.10927,0.11238,0.10519,0.10703,336699622.6,336699622.6
10/15/2020,0.10703,0.10782,0.10441,0.10666,221158995.5,221158995.5
10/16/2020,0.10664,0.10733,0.10218,0.10414,224603403.3,224603403.3
10/17/2020,0.10415,0.10739,0.10316,0.10598,159726089.3,159726089.3
10/18/2020,0.10589,0.10761,0.10501,0.10735,110005980.3,110005980.3
10/19/2020,0.10737,0.1111,0.10598,0.10859,229437127,229437127
10/20/2020,0.10856,0.10883,0.10058,0.10238,336559707.3,336559707.3
10/21/2020,0.10237,0.10858,0.10128,0.10589,266714219.2,266714219.2
10/22/2020,0.10585,0.11279,0.10507,0.11077,253146949.9,253146949.9
10/23/2020,0.11075,0.11228,0.10515,0.10805,229349167.1,229349167.1
10/24/2020,0.10801,0.1099,0.10726,0.10797,148170659.6,148170659.6
10/25/2020,0.10795,0.10879,0.10603,0.10639,112506426.2,112506426.2
10/26/2020,0.1064,0.1076,0.09892,0.10306,225727480.6,225727480.6
10/27/2020,0.103,0.10568,0.10178,0.10256,184291093.8,184291093.8
10/28/2020,0.10254,0.10331,0.09501,0.09869,282164120.8,282164120.8
10/29/2020,0.09872,0.10082,0.09484,0.09531,257269193.8,257269193.8
10/30/2020,0.09527,0.09569,0.08915,0.0933,278450826,278450826
10/31/2020,0.09326,0.09555,0.09196,0.093,165418867.7,165418867.7
11/1/2020,0.09296,0.09868,0.09241,0.09827,138991316.1,138991316.1
11/2/2020,0.09827,0.10004,0.09151,0.09221,250365831.6,250365831.6
11/3/2020,0.09222,0.09417,0.08793,0.09357,244514002.7,244514002.7
11/4/2020,0.0936,0.09628,0.09155,0.0955,256317711.9,256317711.9
11/5/2020,0.09553,0.0981,0.09207,0.09752,332802061.7,332802061.7
11/6/2020,0.09749,0.11,0.09706,0.1091,451716971.6,451716971.6
11/7/2020,0.10912,0.11387,0.09861,0.10128,647454529.2,647454529.2
11/8/2020,0.10131,0.10832,0.0997,0.10655,270595831,270595831
11/9/2020,0.10652,0.10799,0.10114,0.10561,310077984.4,310077984.4
11/10/2020,0.10555,0.10915,0.10355,0.1059,303777358.8,303777358.8
11/11/2020,0.1059,0.1089,0.10541,0.10599,251231387.1,251231387.1
11/12/2020,0.10597,0.10667,0.10254,0.1046,223674122.1,223674122.1
11/13/2020,0.10462,0.10798,0.10401,0.10629,237407048.5,237407048.5
11/14/2020,0.10633,0.1073,0.10142,0.10411,228682972,228682972
11/15/2020,0.10411,0.10527,0.0985,0.10046,201375366.6,201375366.6
11/16/2020,0.10045,0.10499,0.0995,0.10387,215990529.7,215990529.7
11/17/2020,0.10387,0.11246,0.10354,0.10947,422358548.5,422358548.5
11/18/2020,0.10944,0.11161,0.10171,0.10658,434138632.2,434138632.2
11/19/2020,0.10662,0.10816,0.10435,0.1059,237807123,237807123
11/20/2020,0.1059,0.119,0.10549,0.11828,437634200.7,437634200.7
11/21/2020,0.11826,0.13472,0.11605,0.13334,1071722949,1071722949
11/22/2020,0.13335,0.15352,0.12,0.14599,1960688778,1960688778
11/23/2020,0.14593,0.15925,0.141,0.15445,1389843990,1389843990
11/24/2020,0.15451,0.183,0.15,0.16721,1689043010,1689043010
11/25/2020,0.16722,0.17549,0.14702,0.15473,1078036853,1078036853
11/26/2020,0.15474,0.16085,0.1123,0.13843,1645992626,1645992626
11/27/2020,0.13835,0.14559,0.1307,0.14178,714401286.7,714401286.7
11/28/2020,0.14178,0.17233,0.13878,0.16489,1087688654,1087688654
11/29/2020,0.16487,0.17136,0.15712,0.16663,764061575.3,764061575.3
11/30/2020,0.16666,0.17399,0.16011,0.17204,810673450.8,810673450.8
12/1/2020,0.17207,0.17456,0.14132,0.15562,1039771812,1039771812
12/2/2020,0.15554,0.15997,0.15065,0.15845,435020305.6,435020305.6
12/3/2020,0.15841,0.16842,0.15532,0.16398,413504395.2,413504395.2
12/4/2020,0.16395,0.16464,0.146,0.14781,466897814.7,466897814.7
12/5/2020,0.14779,0.16198,0.14608,0.15993,350995852.1,350995852.1
12/6/2020,0.15996,0.16288,0.15301,0.15873,290105225.6,290105225.6
12/7/2020,0.15875,0.15906,0.15132,0.15401,213173504.2,213173504.2
12/8/2020,0.15401,0.1552,0.13756,0.1412,431926292.3,431926292.3
12/9/2020,0.14117,0.15025,0.12924,0.14796,538859167.1,538859167.1
12/10/2020,0.14796,0.14865,0.13906,0.14188,282799496.3,282799496.3
12/11/2020,0.14188,0.14291,0.13473,0.13926,299140983.7,299140983.7
12/12/2020,0.13927,0.14736,0.13876,0.14438,236440057.4,236440057.4
12/13/2020,0.14439,0.15669,0.1429,0.15406,327839004.5,327839004.5
12/14/2020,0.15404,0.1588,0.14953,0.15877,267003605,267003605
12/15/2020,0.15877,0.16,0.15261,0.15381,272831838.6,272831838.6
12/16/2020,0.15385,0.16844,0.14903,0.16814,496276026.7,496276026.7
12/17/2020,0.16806,0.17628,0.16052,0.16336,770340713.9,770340713.9
12/18/2020,0.16339,0.16942,0.15821,0.16502,404588707,404588707
12/19/2020,0.16502,0.17082,0.16286,0.16433,342041141.9,342041141.9
12/20/2020,0.16421,0.169,0.156,0.16201,336692485.2,336692485.2
12/21/2020,0.16196,0.16714,0.1468,0.15278,430322921,430322921
12/22/2020,0.15279,0.16124,0.14879,0.15646,472974503.2,472974503.2
12/23/2020,0.15645,0.15786,0.1263,0.13635,818577125.1,818577125.1
12/24/2020,0.13631,0.15477,0.13132,0.15304,738995663.2,738995663.2
12/25/2020,0.15305,0.167,0.15006,0.15761,589176673.8,589176673.8
12/26/2020,0.15763,0.16242,0.1488,0.15839,563232604.1,563232604.1
12/27/2020,0.15839,0.16642,0.14936,0.15467,798134617.2,798134617.2
12/28/2020,0.15467,0.18057,0.1528,0.17627,881547663.5,881547663.5
12/29/2020,0.1763,0.19725,0.17304,0.19067,1475500720,1475500720
12/30/2020,0.19069,0.19389,0.17511,0.18389,670221026.8,670221026.8
12/31/2020,0.18389,0.1864,0.17443,0.18134,447672619.8,447672619.8
1/1/2021,0.18134,0.18473,0.17,0.17509,462201570.9,462201570.9
1/2/2021,0.17505,0.18457,0.16793,0.17742,660303281.2,660303281.2
1/3/2021,0.1774,0.2096,0.17255,0.20615,1201451449,1201451449
1/4/2021,0.20625,0.23992,0.19203,0.22528,1463415576,1463415576
1/5/2021,0.22518,0.26429,0.20696,0.25873,1478887679,1478887679
1/6/2021,0.25889,0.34772,0.25347,0.33309,2059110043,2059110043
1/7/2021,0.33311,0.3553,0.2785,0.29928,1411321699,1411321699
1/8/2021,0.29917,0.32165,0.26175,0.30389,1284205249,1284205249
1/9/2021,0.30392,0.33851,0.29583,0.33062,820267450.7,820267450.7
1/10/2021,0.33062,0.3412,0.27948,0.30153,908667596,908667596
1/11/2021,0.30154,0.30397,0.2288,0.2757,1538966424,1538966424
1/12/2021,0.27563,0.31442,0.2628,0.28888,1059013245,1059013245
1/13/2021,0.28875,0.31587,0.27,0.3123,715473111.9,715473111.9
1/14/2021,0.31246,0.32455,0.29646,0.31201,656502674,656502674
1/15/2021,0.31203,0.33225,0.27739,0.30188,853517402.8,853517402.8
1/16/2021,0.30189,0.36696,0.30186,0.35071,1219589043,1219589043
1/17/2021,0.35057,0.3974,0.34076,0.38081,1422650839,1422650839
1/18/2021,0.38077,0.39724,0.36413,0.37123,636785470.4,636785470.4
1/19/2021,0.37132,0.39001,0.362,0.3672,606641543,606641543
1/20/2021,0.3672,0.3769,0.33033,0.37532,656351514.5,656351514.5
1/21/2021,0.37548,0.37945,0.3,0.30785,802690568.5,802690568.5
1/22/2021,0.30786,0.3598,0.28,0.34867,898752288,898752288
1/23/2021,0.34842,0.35763,0.33541,0.34583,418300948.7,418300948.7
1/24/2021,0.34575,0.36926,0.33613,0.35345,458536220.6,458536220.6
1/25/2021,0.35346,0.36415,0.34034,0.34308,407390809.5,407390809.5
1/26/2021,0.34284,0.35111,0.32404,0.3433,354428194,354428194
1/27/2021,0.34342,0.34396,0.30404,0.31144,422544056.1,422544056.1
1/28/2021,0.31142,0.35575,0.30431,0.34409,487709261.2,487709261.2
1/29/2021,0.34409,0.36836,0.3305,0.34752,666472809.5,666472809.5
1/30/2021,0.34764,0.37694,0.337,0.364,510716622.4,510716622.4
1/31/2021,0.36395,0.37752,0.338,0.34475,399794774.9,399794774.9
2/1/2021,0.34464,0.42411,0.33214,0.40876,844822325.1,844822325.1
2/2/2021,0.40882,0.4559,0.38868,0.42498,1501769862,1501769862
2/3/2021,0.425,0.44961,0.41509,0.44189,541252929.4,541252929.4
2/4/2021,0.44213,0.45,0.41003,0.43934,536142412.3,536142412.3
2/5/2021,0.43903,0.56,0.43638,0.53917,1277155737,1277155737
2/6/2021,0.53874,0.66706,0.51901,0.63444,1255504053,1255504053
2/7/2021,0.63444,0.70888,0.58,0.66109,1596532268,1596532268
2/8/2021,0.66109,0.7238,0.63191,0.67638,1008667680,1008667680
2/9/2021,0.67674,0.71206,0.6624,0.70562,590482327.7,590482327.7
2/10/2021,0.70562,0.95306,0.70555,0.93966,1693219939,1693219939
2/11/2021,0.94041,0.98,0.86513,0.92796,975100368.2,975100368.2
2/12/2021,0.9281,0.94825,0.866,0.92426,649547803.8,649547803.8
2/13/2021,0.92418,0.95053,0.82,0.91299,586878561.3,586878561.3
2/14/2021,0.91303,0.919,0.80666,0.84364,539495015.4,539495015.4
2/15/2021,0.84288,0.911,0.6856,0.86143,932826536.9,932826536.9
2/16/2021,0.86128,0.90591,0.83334,0.87,526075390.6,526075390.6
2/17/2021,0.8699,0.89745,0.8215,0.89206,460328636.1,460328636.1
