Date,Open,High,Low,Close,Volume,Market Cap
8/21/2020,415.94,418.68,385.1,387.97,860998.7256,860998.7256
8/22/2020,387.93,397.04,379.92,395.24,643235.7654,643235.7654
8/23/2020,395.23,396.95,383.15,390.71,445317.8199,445317.8199
8/24/2020,390.72,410.42,387.44,407.68,717403.8188,717403.8188
8/25/2020,407.68,409.06,370,382.93,970445.384,970445.384
8/26/2020,382.91,392.91,377.37,385.81,738690.7794,738690.7794
8/27/2020,385.81,397.1,371.48,383.27,877763.7366,877763.7366
8/28/2020,383.31,398,379.75,395.11,732601.4691,732601.4691
8/29/2020,395.1,405.69,391.88,398.65,659802.6334,659802.6334
8/30/2020,398.65,429.89,398.3,428.94,894979.7179,894979.7179
8/31/2020,428.94,439,418.04,433.79,1040748.689,1040748.689
9/1/2020,433.8,488.84,429.03,475.4,1751354.577,1751354.577
9/2/2020,475.4,481.39,420,439.5,1880642.469,1880642.469
9/3/2020,439.5,450.7,372,381.4,2408569.342,2408569.342
9/4/2020,381.35,400.21,357,385.26,1806488.225,1806488.225
9/5/2020,385.3,395,308.42,335.01,2777166.514,2777166.514
9/6/2020,335.04,360,316.1,352.8,2017811.147,2017811.147
9/7/2020,352.85,358.51,323,353.59,1740618.425,1740618.425
9/8/2020,353.59,356.58,325.38,337.39,1400246.83,1400246.83
9/9/2020,337.41,359,330.51,350.85,879760.5626,879760.5626
9/10/2020,350.85,377.25,349.91,367.93,1134287.611,1134287.611
9/11/2020,367.93,375.27,355.49,373.63,844017.5997,844017.5997
9/12/2020,373.62,388.57,364.73,387.78,766542.3164,766542.3164
9/13/2020,387.78,390.43,350,366.42,989195.6905,989195.6905
9/14/2020,366.43,384.64,355.73,377.12,1042059.623,1042059.623
9/15/2020,377.12,382.47,362.34,364.06,883856.3301,883856.3301
9/16/2020,364.05,373.45,355,365.11,841709.9894,841709.9894
9/17/2020,365.04,394.14,363.3,389.36,1256300.411,1256300.411
9/18/2020,389.35,392.58,375.33,384.39,804194.4722,804194.4722
9/19/2020,384.4,388.72,377,385.25,570908.3355,570908.3355
9/20/2020,385.25,385.45,365,371.04,693164.4014,693164.4014
9/21/2020,371.04,376.8,331,340.36,1283946.031,1283946.031
9/22/2020,340.31,346.91,335.34,344.21,842731.1288,842731.1288
9/23/2020,344.18,344.65,313.29,320.72,940904.4976,940904.4976
9/24/2020,320.72,353.1,316.67,348.97,1071705.097,1071705.097
9/25/2020,348.97,358,337.58,351.92,860643.7792,860643.7792
9/26/2020,351.93,356.4,345.88,353.92,530879.2076,530879.2076
9/27/2020,353.95,362.14,347.24,357.49,569568.5504,569568.5504
9/28/2020,357.58,368.2,351.7,353.96,757758.4304,757758.4304
9/29/2020,353.91,360.63,350.45,359.79,585143.1689,585143.1689
9/30/2020,359.78,361.5,351.56,359.83,498943.2323,498943.2323
10/1/2020,359.83,370.45,345.51,352.85,758349.3196,758349.3196
10/2/2020,352.83,354.55,334.24,345.6,733571.8421,733571.8421
10/3/2020,345.6,351,343.7,345.95,303595.719,303595.719
10/4/2020,345.94,354.45,343.81,352.37,343932.9171,343932.9171
10/5/2020,352.34,356.1,348.54,353.62,376740.3069,376740.3069
10/6/2020,353.63,355.1,336.8,340.75,640063.2695,640063.2695
10/7/2020,340.8,342.85,332.18,341.58,541928.8638,541928.8638
10/8/2020,341.58,353.32,334.21,350.95,631794.8756,631794.8756
10/9/2020,350.94,368.33,347.32,365.02,650478.1934,650478.1934
10/10/2020,365.01,378.4,364.71,370.52,591005.3213,591005.3213
10/11/2020,370.51,377.6,368.87,374.16,373318.2378,373318.2378
10/12/2020,374.17,394.8,365.58,386.51,844422.6544,844422.6544
10/13/2020,386.51,387.75,374.51,381.04,645141.9139,645141.9139
10/14/2020,381.05,387.41,373.13,378.69,569557.8294,569557.8294
10/15/2020,378.69,381.79,369.85,377.64,634038.0945,634038.0945
10/16/2020,377.63,379.83,361.18,365.5,654029.364,654029.364
10/17/2020,365.5,370.46,363.36,368.32,285578.2454,285578.2454
10/18/2020,368.31,378.64,367.1,378.11,323468.471,323468.471
10/19/2020,378.12,384.32,372.5,379.3,577252.9027,577252.9027
